Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Collision
D,3,0,A,C,C,0,5.573807558059873,B,1,0,C,C,D,0,69.05585544683531,Нет
C,5,1,B,C,A,0,91.66739850808064,B,3,1,A,A,B,0,98.08497090806641,Нет
C,1,1,B,A,D,1,70.0162887274492,D,5,0,B,D,D,0,5.137186804890637,Нет
C,4,1,B,C,A,1,23.32439468747539,A,2,0,C,B,A,1,64.01997079676971,Нет
C,1,1,D,C,B,1,30.74067770561588,C,3,0,D,A,B,1,8.440762446568273,Да
A,5,1,C,B,C,1,72.95393823148602,D,2,1,A,B,B,0,14.54792425884972,Нет
D,2,0,A,A,D,0,84.16591258923545,C,2,0,D,C,C,0,7.864898255409958,Нет
A,1,1,A,C,C,0,50.91812899123968,C,4,0,B,B,C,0,28.006343262199007,Нет
A,4,0,D,B,B,0,8.990570731025848,A,3,1,A,B,A,0,56.463798761523385,Нет
A,2,0,A,A,B,1,33.9702769119543,B,3,0,C,D,C,0,89.00065046244528,Нет
B,5,0,A,C,D,1,95.13933507529819,D,2,0,C,D,B,0,92.75615692247705,Нет
D,5,0,A,A,D,1,80.43240020439964,C,1,0,B,C,A,1,86.19762139124765,Нет
D,3,1,C,B,A,1,88.67336386744155,D,1,1,A,C,D,0,66.52166584415204,Нет
A,4,1,B,A,D,1,16.571643837228578,D,5,1,C,D,B,0,67.47636639742137,Нет
C,1,0,D,C,A,0,43.28193503300359,B,1,1,B,B,A,0,93.51427158533554,Нет
A,5,1,A,C,A,0,44.54345477507628,C,4,0,A,A,B,0,8.318945099151243,Нет
D,2,1,B,C,C,1,44.16906774777245,D,2,1,B,B,B,0,33.056981326271895,Да
A,3,0,A,D,A,1,16.774868790864815,C,2,0,B,A,B,0,51.367234903757485,Нет
A,2,0,C,C,A,0,25.965300524322423,C,2,1,D,C,D,1,80.25709245469679,Нет
D,1,0,D,A,D,1,14.243501916721623,B,3,1,B,D,B,1,32.138153884108114,Нет
B,2,1,C,D,D,1,39.95572344148239,A,3,0,D,A,C,1,26.69117434723204,Нет
B,1,0,A,C,C,0,96.32807376494421,C,1,1,D,C,A,0,97.29883401710515,Нет
A,2,1,C,D,A,1,62.45729504234777,C,4,0,A,C,C,1,98.75059293860951,Нет
A,4,1,D,C,A,1,67.47326995250951,D,2,0,D,B,A,1,25.04040772371209,Нет
A,1,1,B,A,D,0,26.090378350435493,C,3,0,B,D,C,0,54.94592851483322,Нет
D,5,1,C,B,A,0,1.6552360256116727,A,3,1,C,C,D,1,43.74108685222695,Нет
C,2,0,D,D,A,0,82.01686754503976,C,5,1,D,B,A,1,98.7883742704192,Нет
C,4,0,A,A,D,1,36.26548603160885,D,2,1,D,D,B,1,92.51987803234914,Нет
B,2,1,D,A,C,1,19.05364914186116,C,2,1,D,C,C,1,88.60710905211089,Да
B,5,1,B,D,D,0,96.42399069846557,D,3,0,B,B,D,0,95.82345094382015,Нет
C,5,1,C,A,D,1,83.38813140167838,B,4,1,A,A,D,1,97.76676945372158,Да
D,3,0,A,D,A,1,75.86500739088767,A,1,1,A,D,D,1,9.194153644115644,Нет
B,2,1,C,A,B,0,45.87743736630225,C,4,0,A,B,C,0,60.389641206430646,Нет
B,3,1,A,A,C,0,71.42831167699319,B,4,1,D,B,D,1,97.93539317583603,Нет
A,5,1,D,C,C,0,54.88074726848728,D,1,1,B,C,B,0,60.305224080049804,Нет
D,5,1,C,A,C,0,47.17745259204178,D,3,1,D,A,C,1,68.08814602084607,Да
B,2,0,C,B,B,0,87.58121167400753,B,4,1,C,B,B,0,47.20223274321976,Да
A,5,0,B,A,B,0,24.068821897746307,B,2,0,C,D,B,1,64.7846651724978,Нет
B,1,1,B,A,B,0,29.049361701712584,C,2,1,A,D,C,1,73.71592738833392,Нет
A,5,0,A,A,B,1,14.201322126452077,C,2,1,B,A,D,1,16.194133063591785,Нет
C,4,0,B,A,C,1,27.271892172602495,B,1,1,D,B,C,1,96.80270674009527,Нет
B,4,1,B,B,C,0,43.407129193751906,C,5,0,D,A,D,1,60.030140406191755,Нет
D,4,1,C,C,B,0,92.95637620643103,C,5,0,B,B,B,1,74.27939375369405,Нет
B,4,0,B,D,D,0,55.1434187784249,A,2,0,C,C,D,1,72.14850692274769,Нет
D,1,0,B,C,B,0,59.6651445155654,A,2,0,C,C,D,0,87.71325084002606,Нет
C,2,0,B,A,B,1,64.42542275181744,D,4,1,C,C,A,0,75.06419294467293,Нет
B,1,0,D,A,C,0,31.6012490352791,B,3,0,C,A,C,1,74.20913161134023,Да
A,1,1,C,A,D,1,84.42885493784554,B,2,0,A,A,B,0,0.4505873952490802,Нет
D,1,1,D,A,D,1,94.02998364356051,D,5,0,A,A,D,1,73.89597644379357,Да
D,5,0,A,A,B,0,54.04901577322971,A,4,1,C,A,B,0,45.66177106772963,Нет
B,4,0,A,A,B,1,13.610542091969913,B,1,0,D,A,A,0,22.235176553094295,Нет
B,3,1,C,A,C,0,14.68847681640889,A,3,1,A,C,D,0,29.729443716567637,Нет
C,3,1,B,A,B,1,54.595430113806685,B,3,1,A,A,A,0,47.14291384053722,Нет
A,4,1,D,A,A,0,61.43413872938998,D,3,0,A,A,C,1,82.05050426522624,Нет
B,1,0,C,A,C,0,31.300707569115836,A,2,0,C,B,B,0,72.75766986374231,Нет
D,4,1,C,C,A,0,60.51145111885078,B,1,0,D,B,A,1,44.95152497562644,Нет
B,3,0,D,A,D,0,62.724040632855264,C,5,0,D,A,B,1,72.95483518417065,Нет
A,2,1,D,A,C,0,89.7170594484464,B,2,1,C,C,A,1,1.7903104669714787,Нет
C,4,1,C,A,B,0,41.21683517303508,B,5,1,C,B,D,1,74.15718953038174,Нет
D,1,0,C,D,C,1,33.070996201061455,B,2,1,A,A,B,1,69.07903303348577,Нет
D,1,1,A,C,D,1,63.873435006670476,D,3,0,A,C,C,0,50.603944581999386,Нет
B,2,0,A,C,C,1,17.530692424862117,D,3,0,D,C,A,1,18.41613644524709,Нет
C,3,0,A,D,D,1,7.01917187534219,B,3,0,A,B,C,0,99.9373737954745,Нет
D,4,0,A,D,C,0,53.194493428845846,D,3,0,C,D,B,1,34.25205300146582,Нет
A,5,1,D,A,A,1,65.8406988178563,A,5,1,A,A,D,0,18.603073083574916,Да
D,3,0,A,A,D,1,72.91772559850567,D,1,1,C,C,A,1,72.96404810503857,Нет
C,5,1,B,A,D,0,15.190057784650035,A,5,1,B,D,A,1,75.02037768347759,Нет
B,2,0,B,C,B,1,18.34700390164827,D,5,0,D,A,A,1,10.355735691727974,Нет
B,2,0,C,B,A,1,44.68602976682477,B,3,1,C,B,C,0,53.3965143298634,Нет
A,5,0,B,D,D,0,88.49541797470063,C,1,0,A,B,C,0,91.70724333250088,Нет
C,4,0,D,B,C,1,22.36937819862185,C,3,0,C,C,C,0,27.454269446665336,Нет
D,3,1,A,B,A,0,89.65223633612048,A,3,1,A,D,B,0,77.46328850387225,Да
D,3,0,C,D,A,1,97.82833358020933,C,3,1,A,A,A,1,50.90114083542,Нет
B,3,0,C,D,C,1,31.193599238512437,D,3,0,B,C,D,1,34.15141390934537,Нет
C,1,0,D,A,A,1,5.760599442661274,B,2,1,A,D,A,0,80.16185214719093,Нет
B,2,1,B,D,A,0,67.60146219400356,C,2,1,A,B,D,1,90.29622566247704,Нет
D,2,0,D,A,C,0,8.385726784749403,A,5,1,C,B,A,1,21.89080687936841,Нет
A,4,1,D,B,D,0,53.487530934441175,A,4,0,A,A,D,1,87.08245276479163,Нет
C,1,1,A,C,D,1,39.88699324738128,C,2,1,B,B,C,0,48.04816091721583,Нет
D,2,0,A,B,C,1,20.657368291046975,A,4,1,C,B,B,1,11.052179965993403,Нет
C,1,0,D,B,A,0,92.74218365064245,D,4,0,B,B,D,1,98.8058383931566,Нет
B,4,0,B,B,C,1,41.344079312139804,D,3,0,C,C,A,1,83.80289704399063,Нет
B,2,1,D,A,A,0,99.88412907329231,A,5,1,B,C,A,1,44.95251750193242,Нет
D,1,1,A,D,D,1,4.564986447317299,B,2,1,D,A,D,1,55.714608923192685,Нет
B,4,1,B,A,D,1,31.60890719332574,A,3,0,C,B,D,0,5.471751941763914,Нет
A,1,0,A,D,D,0,96.8546131457214,A,4,0,D,C,A,1,91.04063384211294,Нет
B,5,0,A,D,A,1,53.36715821010492,C,4,0,D,D,A,1,23.535351381774216,Да
D,1,1,A,B,D,0,4.997640475019127,B,5,0,D,B,D,0,81.43597258423952,Нет
C,5,1,C,B,C,0,62.67838649993257,D,3,1,B,D,A,0,42.61873784222709,Нет
C,3,1,D,D,A,0,53.2758377656638,B,1,1,C,C,D,1,17.324327358397042,Нет
C,2,1,C,D,A,0,13.820687209481031,D,2,1,D,C,C,0,46.79722431943644,Нет
B,4,0,A,A,C,1,46.22013401892598,C,5,0,C,D,D,1,76.02319997103409,Нет
C,2,0,A,A,A,1,93.9940273286449,A,1,0,C,A,D,0,29.910616753092157,Нет
D,5,0,C,C,D,0,41.6425273800389,A,1,1,C,B,C,1,28.665423123546795,Нет
B,1,1,B,B,A,0,6.24344153154296,D,5,0,C,A,A,0,38.502855411819525,Нет
D,2,1,C,D,D,1,77.98379246247421,D,2,1,C,A,B,0,8.481006979504524,Да
D,2,1,C,B,A,1,77.69692738789432,C,3,0,A,C,A,1,76.54671507339982,Нет
A,2,0,A,C,C,1,78.56645229516775,A,1,0,D,C,A,0,27.762645767057272,Нет
D,4,0,D,C,C,1,27.594096265488055,B,4,0,A,A,A,0,27.85465806183187,Нет
C,1,1,A,B,B,0,13.345567858737228,A,5,0,B,D,A,1,5.21210935292512,Нет
C,1,0,B,A,D,1,72.36708576046355,C,2,0,D,D,A,1,94.35709789721538,Нет
C,5,1,C,A,B,1,60.11244138990155,A,1,0,B,C,A,0,30.478803583713056,Нет
C,2,1,C,D,B,1,38.408679065193006,B,3,0,A,D,B,1,8.141309867589907,Нет
A,2,0,C,D,A,1,42.10829672602448,C,5,0,A,D,A,1,81.98343457466036,Да
B,2,1,B,D,A,0,72.63589533233386,B,3,1,C,C,B,1,64.15662467064416,Нет
C,3,0,D,A,D,0,76.80626389044292,A,4,0,C,C,D,0,92.07771714247764,Нет
A,3,1,C,C,D,1,99.55523523698784,B,1,1,C,D,C,0,65.79645189356587,Нет
C,4,0,A,D,B,0,18.429037489056334,D,1,0,B,B,C,1,9.873464887419281,Нет
B,5,0,A,D,B,1,26.8198410770096,A,5,0,A,C,C,0,7.098296409598326,Нет
B,3,1,C,B,B,1,19.7006177923711,A,3,1,C,D,B,1,15.07631841960102,Да
D,5,0,B,B,A,0,42.4294838497015,C,1,0,D,A,B,1,81.80240534385001,Нет
C,3,1,A,B,C,1,66.40000051078933,A,1,0,B,A,C,1,68.31408521916336,Нет
B,5,0,A,A,D,1,47.115850055596454,D,4,0,C,B,B,0,22.865240491538852,Нет
C,4,1,B,C,A,1,7.543562584672959,D,4,1,C,A,B,1,64.7910760563111,Нет
B,1,0,C,A,A,0,56.981970735451114,A,2,0,D,D,D,1,59.91391206608926,Нет
B,3,0,C,A,C,1,94.5451852610528,D,2,0,B,C,B,1,25.144061549984166,Нет
A,1,0,D,C,C,1,0.3412364501213627,B,1,0,C,B,A,0,27.5033378161219,Нет
C,2,1,B,B,D,1,51.6678109816143,B,3,0,A,A,A,0,65.46655077273135,Нет
B,1,0,C,C,A,0,10.728578530127475,A,3,0,B,A,A,0,15.990178778297349,Нет
A,5,0,C,A,C,0,30.047682052348932,D,3,1,C,A,D,1,4.592529039618132,Нет
C,2,1,D,D,D,0,22.368824579443935,B,4,0,D,B,A,0,12.485950531088285,Нет
B,5,0,B,A,C,0,0.12173663400653068,C,1,0,D,A,C,0,49.51472779913645,Да
C,1,0,D,B,C,0,43.6868622692849,A,5,0,A,A,C,1,83.81557391204431,Нет
A,4,1,D,D,D,1,67.40187566757922,D,5,0,C,B,C,1,63.09966606368476,Нет
A,3,0,B,C,C,0,61.534772714912364,C,1,1,D,A,D,1,2.1289190055432394,Нет
C,1,1,C,C,D,1,66.68089914536846,D,5,1,B,D,B,1,55.697336818237154,Нет
A,4,1,A,C,D,0,73.69646898347733,C,4,0,C,D,C,1,59.07424203333491,Нет
B,5,1,C,A,D,0,96.31466452000113,A,3,1,A,A,D,0,63.04624955086068,Да
D,5,1,A,D,B,0,13.46057842853291,D,1,1,A,B,A,0,1.5657049700974146,Да
C,4,0,D,C,C,0,33.75665023941482,D,1,1,D,D,D,0,67.12128337728396,Нет
A,1,0,B,A,B,1,96.89273004138349,C,3,1,D,D,C,0,8.329749531079544,Нет
B,4,0,D,D,A,0,26.89937589002055,C,1,0,D,B,B,0,69.05835739276891,Нет
A,2,0,A,A,D,0,39.35506131507203,C,1,0,B,C,A,1,53.410154015923325,Нет
A,3,0,C,D,B,1,51.56887083739018,D,4,0,C,B,B,1,67.19703416889645,Да
D,1,0,A,A,D,1,22.867681772620752,A,2,1,D,B,C,1,90.6124142958231,Нет
C,2,1,D,A,B,1,14.447821456346244,B,2,0,C,D,D,1,33.435775304459824,Нет
B,1,1,A,A,B,0,25.984731346989186,A,1,0,A,D,D,0,95.9369662732177,Нет
A,1,0,A,A,D,1,68.36366779630494,B,2,0,A,D,B,1,83.91513966331871,Нет
B,1,0,A,B,B,0,0.5962853073883334,C,5,0,C,A,C,0,39.88083627866725,Нет
D,4,1,B,C,C,1,64.8881981950348,C,3,0,A,B,D,0,95.01125131735508,Нет
C,1,1,A,C,B,0,9.089383119758498,D,4,1,D,B,D,1,14.458950318620778,Нет
D,2,0,A,B,D,1,53.77843909186127,D,4,0,B,A,B,1,64.8428012662013,Нет
A,3,1,D,D,D,0,72.54726938070029,D,1,1,C,C,C,0,72.31030833679046,Нет
B,2,1,D,D,D,1,99.1284453429276,D,1,1,B,D,C,1,8.961908734786183,Нет
D,4,1,D,D,A,0,45.579769142568814,D,5,0,C,B,C,0,14.533834282026081,Нет
C,1,1,C,C,C,0,44.95954491468823,C,4,1,B,B,A,1,95.90152891888799,Нет
A,5,0,B,A,B,1,57.9549771249526,B,5,1,B,C,D,1,47.81079603911723,Нет
A,2,0,A,D,A,0,95.43766826098953,A,4,1,C,B,C,0,51.56867146503827,Нет
B,2,1,C,A,C,0,31.045425990129548,B,2,0,A,A,B,0,30.218777943964625,Да
D,2,0,A,C,B,0,54.545611988604,B,3,1,A,B,B,1,97.18297724846859,Нет
C,4,0,C,D,B,0,26.356566772907897,C,4,1,A,D,B,0,16.698737951438293,Да
D,2,0,D,A,A,0,70.93958197063296,D,3,0,B,A,C,1,24.3476646981445,Нет
D,1,0,A,B,D,0,8.396148613651476,B,2,0,D,A,D,1,75.99330596406766,Нет
D,2,1,D,A,C,1,89.49882529320583,A,5,1,D,A,B,1,89.4918202240886,Да
C,3,1,C,A,B,0,80.70068367939184,A,5,0,D,D,B,1,71.49190223850903,Нет
C,1,0,A,B,C,1,60.573927842490924,C,1,1,B,A,B,1,33.06667652342723,Нет
C,3,0,A,A,A,1,94.99321859955106,C,2,1,D,C,D,1,74.66972510970268,Нет
A,3,0,A,C,D,1,57.98177669839385,C,4,0,C,B,A,0,57.72926392858505,Нет
C,1,0,A,B,D,0,66.29117726612844,B,3,0,B,D,D,1,25.373564578918018,Нет
B,5,1,C,A,D,1,15.699129227734465,D,3,0,C,D,D,1,85.4808069616137,Нет
A,3,0,B,C,B,1,41.916199960375685,C,2,0,C,B,C,0,46.97521593316577,Нет
B,5,1,C,C,B,0,33.00955533536719,C,5,0,A,B,B,1,20.289197120991254,Нет
A,1,0,C,D,C,0,61.04583174434912,D,4,0,D,B,D,0,22.253496656226048,Нет
A,4,0,B,A,C,1,16.259029916728085,A,1,1,C,D,A,0,68.12028973864217,Нет
C,5,1,C,D,B,1,21.404188783852096,B,2,0,B,B,A,1,96.83849264834097,Нет
A,1,0,A,A,D,0,3.166833383943468,B,2,1,D,C,A,0,42.26007667546229,Нет
B,3,1,B,A,C,1,97.22671604149119,C,3,0,C,A,A,1,73.7185027742473,Нет
D,5,0,A,D,B,1,39.4169648485417,B,4,0,B,C,C,1,93.3535173557545,Нет
D,3,0,C,A,B,0,23.321768591709315,C,3,1,C,C,C,1,27.45731456201711,Нет
C,1,1,C,A,D,1,7.0831625629674715,D,4,0,B,D,A,0,49.10729533181327,Нет
B,5,0,A,C,C,0,92.33216040750266,B,4,0,A,A,A,1,31.314512511123915,Нет
