Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj1_Feat10,Obj1_Feat11,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Obj2_Feat10,Obj2_Feat11,Collision
0,15.443960217640507,34.08248514301384,1,0,0,2,C,A,C,0,1,14.270346429233062,40.02963168776655,0,0,0,5,B,A,C,1,Нет
0,98.04339473566841,21.462305433377594,0,0,1,4,A,A,D,1,0,46.33838213726806,31.739707061023203,0,1,0,5,B,D,A,0,Нет
0,30.91182618207169,90.11963829604565,1,1,0,5,A,B,A,0,0,6.371899521365043,97.14095031884013,1,0,0,1,C,D,C,1,Нет
1,22.731463833238617,73.80060270780181,1,1,1,4,D,C,B,0,1,88.48403693834003,32.29862868245302,0,1,0,2,C,D,D,0,Нет
1,75.98787982706278,91.72658628350766,0,1,1,1,D,D,D,1,0,52.105121755948645,34.66839428555488,1,0,0,5,C,D,A,1,Нет
0,84.61082664547995,15.588560763655913,0,0,1,1,D,A,A,0,1,35.998720782475644,68.34311287671898,1,0,0,1,C,A,B,0,Нет
0,93.94982346270614,64.53590053989471,0,0,0,2,B,B,B,1,0,21.614789439005687,61.89690200133596,0,1,0,1,C,C,A,0,Нет
0,39.21999728670858,12.90030844222889,0,0,0,4,A,A,A,1,0,14.12558910110967,31.822458046712043,0,1,0,4,A,B,C,1,Да
0,20.37124991489754,4.836820442168532,1,1,0,1,D,B,B,1,1,56.8060499760506,11.099954327229767,1,0,0,5,D,B,C,1,Да
0,1.6775652980970945,67.76054094539927,0,1,1,3,B,A,A,0,0,29.509804558684436,67.37103526882652,0,0,0,1,B,C,D,0,Нет
1,47.435587566344005,54.710423609698424,0,1,1,2,B,C,A,0,1,43.40048556440246,71.44524729356215,1,0,0,2,A,A,C,1,Нет
1,38.11063537665854,10.274299050160195,1,1,0,5,C,D,B,1,0,77.61109060057032,92.74956141129765,1,0,1,2,A,A,A,0,Нет
1,89.98294596004544,55.89066972940601,1,0,0,3,D,D,D,0,0,10.096655938014187,96.77466438674833,1,0,1,4,B,B,C,0,Нет
1,20.787234554257182,35.50813869833581,1,1,0,1,B,C,C,0,1,42.14880213918272,96.60876171924424,0,0,0,5,D,C,C,0,Да
0,58.329886541937036,77.66712195149957,1,1,0,1,C,D,D,0,0,37.11417033824473,76.18080698006409,1,1,0,3,D,B,A,0,Да
1,29.64763109320615,68.553709931022,1,1,0,1,A,C,C,1,1,52.7965091647843,98.8181388494096,1,0,0,5,D,B,C,0,Нет
1,56.122185267415695,78.80353284061418,1,1,1,4,B,B,D,0,1,75.48933722155829,59.48040610366282,1,1,0,4,B,C,A,0,Да
1,78.4864937826817,26.682055126581126,0,0,1,4,D,C,C,0,0,52.29634133540593,65.39662740092709,0,1,1,1,D,B,D,1,Нет
0,14.852581197316217,73.1797576207164,1,0,0,5,C,D,B,0,1,31.21135739896448,3.512944741348767,1,1,0,2,D,B,A,0,Нет
0,70.26344180181458,76.45830584115801,1,0,1,4,A,A,D,1,1,76.7540736334108,53.21157356782804,0,0,0,2,B,C,C,1,Нет
1,40.59953278281024,51.62567946945587,0,1,1,5,C,A,D,0,1,79.44588964968669,46.59385892779135,1,1,0,5,A,C,D,0,Да
0,36.7189483832006,44.50774250607805,1,0,1,2,B,D,A,0,1,72.56386851335233,21.2032162609452,1,1,1,4,A,A,A,1,Нет
0,96.44008202552344,59.968024729788596,1,0,1,1,D,B,D,0,1,10.151136350655243,86.49201969759895,0,0,0,4,D,D,A,0,Нет
1,24.667703736626812,65.65484862466364,1,0,1,3,C,B,B,1,0,97.57874411246988,34.43655912908448,0,1,0,4,D,C,A,1,Нет
1,99.48606942389947,7.55491961309509,0,0,1,2,A,B,B,0,0,42.15082727274929,24.62831209188636,0,1,1,1,B,D,B,0,Нет
0,97.25563753099833,81.06582148788479,0,0,1,1,B,C,D,1,0,94.47135089345902,45.407013739338176,0,0,0,5,D,D,B,1,Нет
0,79.32550888627591,61.80687870230156,0,0,0,1,C,C,A,1,0,13.40482635765714,90.12494057099065,0,1,0,2,D,A,B,1,Нет
1,42.547204931989704,1.5097348501199925,0,0,0,1,B,D,D,1,0,42.6219094725275,75.47294911333474,1,1,1,1,B,D,D,1,Да
0,17.991037621920235,83.31283440551167,0,1,1,3,B,B,A,0,1,90.57183622613614,76.3492500520097,0,0,0,2,A,C,D,1,Нет
0,7.671787358297433,91.64907566927026,0,1,1,3,A,B,B,1,0,62.7233364837281,74.550283442931,1,0,0,5,A,B,C,1,Нет
0,38.77411031601664,22.663051455232754,1,0,1,2,D,B,A,0,1,76.34260450919173,76.85118378181765,1,0,0,4,A,D,A,1,Нет
1,64.01929976113891,38.12579302723046,1,1,1,2,B,D,D,1,1,33.56366300550106,52.67110768100534,1,1,1,4,C,A,A,1,Да
1,6.1014971071934765,98.07521510441441,1,0,0,3,A,B,C,1,0,26.348574106771018,85.84373474068452,1,0,1,1,B,B,B,0,Нет
0,36.60032070758707,80.01544339152925,0,0,1,2,A,B,A,0,0,35.4492407870553,78.19281547582109,1,1,1,4,A,C,A,0,Да
0,74.572297324484,26.710631258821238,1,1,0,4,C,C,D,1,0,49.4344875668319,72.78313648658627,1,0,0,1,C,C,C,0,Да
1,40.417222959531095,73.51879185390221,0,1,0,3,B,B,B,1,1,94.40119408670026,40.029204911070835,1,1,1,3,B,B,C,1,Да
1,58.48278661452385,94.78673170127047,1,1,1,1,A,C,B,0,1,15.900004173935633,9.20145190982824,1,0,0,2,B,A,B,0,Нет
1,13.033698576010355,31.038667993820933,1,0,0,2,D,A,A,0,1,71.75502745375961,89.63687917983638,1,1,1,2,C,B,D,1,Нет
1,91.94464228905584,23.30728840508701,0,0,1,4,D,A,B,0,0,53.016864963618445,75.28519697189658,1,0,1,4,A,B,A,1,Нет
1,10.506923912037792,12.967106298784048,0,0,0,5,A,B,D,1,1,50.849348960337004,54.06124694217114,1,0,0,3,A,A,C,1,Да
0,28.391877576275704,47.95969588163263,1,1,0,5,A,B,B,0,1,41.70285920076907,2.7794891147910783,0,1,0,4,B,B,D,0,Нет
0,49.864575196795776,40.448867064980895,0,1,1,4,D,C,A,0,0,38.409365368446444,19.230763982044998,1,1,1,3,C,B,C,0,Нет
1,15.848531854453995,35.851784686395845,1,0,1,5,C,D,C,1,0,57.949219690963474,69.89423675030734,1,1,0,4,C,C,B,1,Нет
0,51.74556962579341,13.471261951925062,0,1,1,2,C,D,A,0,0,89.16966331230458,37.51355657929493,1,1,1,5,B,C,C,1,Нет
1,82.31439929134355,2.243000980843979,0,0,0,5,C,C,A,0,0,19.88481713656497,29.966498635514295,1,0,1,1,A,C,D,1,Нет
0,78.32726908785234,14.046469657330096,1,0,1,3,D,C,D,1,1,84.29843866205071,1.7927409237055825,1,1,1,5,D,B,B,1,Нет
1,52.30145627085581,70.32138471452653,0,0,0,4,C,B,A,0,1,57.013367095219124,28.904577142023967,1,1,1,1,A,D,B,0,Нет
0,74.53393637158293,19.39259585598736,0,1,1,1,D,A,B,1,0,53.112293931746066,4.264166758511079,0,0,0,5,B,D,C,1,Нет
1,94.8281314726275,56.641063416321515,1,1,0,1,B,A,D,0,1,68.2663335089653,53.80488272965964,1,1,1,5,D,C,C,1,Нет
1,91.61122358761743,62.740330359934326,0,0,1,2,A,D,B,0,1,3.5153224537331607,6.832537165506459,1,0,1,2,D,C,C,1,Нет
0,39.04335781877916,98.9830308397694,0,0,1,1,C,B,D,1,0,86.98861337919973,59.669567138303606,1,1,0,4,C,C,B,1,Нет
1,6.88357325374418,95.70024791386085,1,1,1,1,A,C,D,1,1,83.40356657494155,12.510749541561395,0,1,0,2,A,C,D,0,Да
1,10.384133487109338,11.244040396823385,0,0,0,2,A,D,A,1,0,24.97074925698276,70.40350198241492,0,0,1,1,C,B,B,0,Нет
1,11.192060019332729,26.571879802921828,1,1,0,3,D,C,B,0,0,94.99725947607288,51.277449527576714,1,1,1,1,D,D,D,1,Нет
0,42.67447263309221,80.16883078796143,0,0,1,3,C,A,B,0,1,42.73962998960622,55.30845316898378,0,1,1,4,A,D,A,1,Нет
0,83.94081506607058,27.615017711556312,1,0,0,1,C,D,C,1,1,67.94414531778568,93.25136225254548,1,1,0,4,C,D,B,1,Да
1,0.30846671001146797,57.593329074009326,0,0,0,3,C,C,D,1,1,19.942594289344882,63.91488107461688,1,0,1,2,D,D,C,1,Нет
0,66.82081939514653,93.84211133287182,0,1,0,5,B,B,B,0,1,67.10377545417981,0.8189801146209708,1,1,0,5,C,C,C,1,Нет
1,34.74546390238218,93.6872714781848,0,0,0,2,D,A,D,0,0,47.05618908823297,76.6394325598214,1,1,0,3,B,D,A,0,Нет
1,37.66256734715918,30.923317478412393,1,1,1,5,C,A,C,0,1,36.56273780858027,39.28758444426922,1,0,1,5,C,C,B,1,Да
1,66.93053187140667,11.730131649257402,1,1,0,2,B,A,D,1,1,23.629537292311486,28.276123645379325,1,1,1,1,A,A,D,1,Да
0,97.70491214615032,51.35985832757065,0,0,0,3,D,B,C,1,1,61.501785390157025,90.31775873631129,0,1,0,2,A,D,A,1,Нет
0,91.10085288415995,80.50380588246469,1,0,0,5,B,A,B,1,0,60.42995202007651,20.186039733884588,0,1,1,2,D,B,D,1,Нет
0,36.84890768048059,35.65523405047352,0,1,1,1,B,B,A,1,1,61.61014196089999,40.399728461388406,1,0,1,3,A,A,D,1,Нет
0,8.628117686979387,73.57544717916488,0,0,1,5,C,D,C,1,0,23.536703635531254,36.30584962750903,1,1,1,2,D,C,C,1,Нет
1,98.97966225998414,64.4768144715332,1,1,0,5,B,D,C,0,0,34.84084595190756,84.09292431757976,0,0,1,3,C,D,A,1,Нет
0,76.54474108105947,48.022929323099696,0,1,1,2,B,A,C,1,1,67.42758615949879,73.81024903648967,1,0,0,3,C,A,D,1,Нет
1,77.79763395524692,27.198329144248824,0,1,0,5,D,B,B,0,1,63.74930137652341,31.746010104792198,0,1,1,2,A,B,D,1,Нет
1,65.05341012343169,90.22909703831775,0,1,0,5,D,D,A,0,0,2.802701256282525,81.213900628198,0,1,0,5,B,B,A,0,Да
0,44.9008293135805,75.67963894599848,0,0,0,5,C,A,C,0,0,66.90109984191663,56.338182904643915,1,0,0,2,D,D,B,0,Нет
0,77.67601863379296,72.34130531060194,0,1,0,2,D,B,B,1,1,42.29516988272276,6.535314226363742,1,0,0,2,D,A,A,0,Нет
0,15.310092935631914,31.39323004686616,1,1,1,2,A,B,C,0,1,91.90607817131784,21.08920224909121,0,0,0,1,A,C,B,0,Нет
1,65.1357636409713,79.95704420842246,0,0,0,5,C,A,D,1,0,40.01202220592086,59.20878018504474,1,0,0,4,D,B,C,1,Нет
0,86.6088406044302,12.97783431688816,1,0,1,5,C,A,D,0,1,84.41012488369198,89.25848074519274,1,0,1,1,D,B,B,1,Нет
0,25.62204972923968,95.54552626397691,1,0,0,4,C,C,C,1,0,40.64025328955939,0.7809510577980627,1,0,0,2,A,C,A,0,Да
1,96.73759794998679,3.468349405528537,1,0,1,4,A,A,C,0,0,12.833880227529914,60.3914486812819,1,0,1,4,C,B,C,0,Да
1,7.353833833791135,32.54721929868113,0,0,0,3,A,B,A,0,1,27.464058458996554,27.63153747088839,1,1,0,2,B,D,A,1,Нет
0,74.52558614676634,96.464163640157,0,1,1,3,B,C,C,0,0,78.93603953788545,57.597408332641166,0,1,1,5,A,A,D,1,Нет
0,68.0210880993436,64.85787686789021,0,1,1,5,C,D,D,0,0,1.7876515022663297,26.98565804816756,1,1,0,4,D,A,B,0,Нет
0,37.47716807948399,19.968204067593,0,0,0,5,C,B,A,0,0,45.04955033337538,5.514729010969321,0,1,0,1,B,C,C,1,Нет
1,21.40762417483235,86.43657767174231,1,0,1,3,B,A,C,0,0,77.81348412179038,95.15192962397688,0,0,0,3,D,B,B,1,Нет
1,12.632174875633185,43.250223183662705,1,1,1,5,A,A,D,1,1,39.74563359713537,12.78254624913231,0,0,0,1,B,B,B,1,Нет
1,47.078803521492475,90.50190235294947,0,0,1,1,C,A,A,0,0,65.81753996519754,62.702432841264454,0,0,0,5,C,D,A,0,Да
0,77.57081369874194,87.15905155897156,0,0,1,1,B,C,C,0,0,77.55074313580364,35.349512768554206,0,0,1,5,C,B,D,1,Нет
1,81.60520553973525,82.29083502078977,1,1,0,5,D,A,A,0,0,48.08471445127807,88.76315419165083,1,0,1,5,C,C,D,1,Нет
0,77.72519202818557,34.810463312967556,0,1,1,1,D,D,B,0,1,23.312824668582554,86.34899846019698,1,1,0,5,C,D,C,0,Нет
0,33.881960108690855,0.1777710193747839,1,1,1,1,B,A,B,0,1,17.01975182738491,66.95545231677048,1,0,1,2,A,B,C,0,Нет
1,67.29519545944177,51.746697235194894,1,0,0,3,D,C,A,1,0,89.07012913520212,29.28001550286943,0,1,0,5,A,D,A,1,Нет
0,81.55914090094235,51.192281563142735,0,0,1,3,A,A,A,0,1,68.7060904147655,98.8451684269488,1,0,1,1,D,C,C,0,Нет
1,50.4490678641975,22.771004314646515,0,1,1,2,C,D,C,1,0,17.225901137745325,93.73077185292289,1,0,0,3,B,B,D,1,Нет
1,68.70492844528539,56.35554581328602,1,0,1,2,A,D,D,0,0,12.538704067917516,73.55487989909439,0,0,1,3,B,A,D,0,Нет
1,2.4041301095629075,17.034776393176266,1,0,1,2,A,D,D,0,1,16.300699778106896,30.109121954316855,1,0,1,1,D,B,C,1,Нет
1,99.87005950031296,60.60631723105415,1,1,0,3,C,A,B,1,0,79.5758923225927,42.95940754286871,0,0,1,5,C,A,C,0,Нет
1,27.063898503549687,28.256776934055328,0,1,1,5,A,A,A,1,0,45.91228912961911,43.00714678285591,0,0,1,4,A,B,B,0,Нет
1,9.004233568354037,16.641727712219666,1,1,0,2,D,A,C,1,1,49.49028360242218,57.723109466826195,0,1,1,1,B,A,D,1,Нет
0,52.32643952917191,75.29700710984912,0,1,1,4,C,B,A,0,1,12.61727669175129,48.86474186976132,0,0,1,3,A,C,D,1,Нет
0,82.87267335464963,23.485408447483923,1,0,0,2,B,A,B,0,1,83.09030865515221,95.99984817282078,0,1,0,4,A,D,D,1,Нет
0,54.67757110963796,12.38281083696824,1,1,1,5,D,B,D,0,0,91.8237104042426,64.25837824797784,0,1,1,5,B,B,D,0,Да
1,95.4874030157832,94.38130663038022,1,1,1,3,C,A,D,0,1,29.617865846847067,65.88473591117875,0,0,1,1,A,C,D,1,Нет
0,50.418657881052155,29.42682646548852,0,1,1,2,C,D,A,1,1,30.739486039531116,75.17194348006329,1,0,0,1,C,C,C,0,Нет
0,84.9948438313051,20.828073929667045,0,1,1,1,A,C,A,0,0,37.345069963133525,22.548722776356122,0,1,1,4,D,D,A,0,Да
0,42.3772406082738,97.82865478453408,0,0,0,1,B,C,B,0,1,2.8888779994688196,92.98808045943275,1,0,0,5,A,D,C,1,Нет
1,71.52497436975345,32.740594560302284,0,1,1,1,A,D,B,1,0,72.80093403132561,8.855019516650541,0,1,0,2,B,A,C,0,Нет
0,94.40697180618534,77.1556782349555,0,0,0,4,B,A,A,1,1,12.399172935786462,21.413364663006874,0,0,0,2,A,C,B,0,Нет
1,56.76714728396092,32.27370641894329,1,1,1,1,D,D,B,1,1,0.31860599059158057,38.91363207289709,1,0,1,3,A,D,D,0,Нет
0,65.15536003766145,27.984060968890255,1,1,0,1,C,A,D,1,1,64.36172747539909,74.36629150123734,0,0,1,5,D,D,A,0,Нет
1,87.83164662720046,23.55077329262878,1,0,1,4,D,A,D,0,0,65.67462992229233,0.015793102838612683,0,1,1,4,A,D,A,0,Нет
1,12.446464812579162,71.4609595471163,0,1,1,4,D,C,C,0,1,80.69517365140265,33.64306395854979,0,0,0,2,B,D,B,1,Нет
1,61.515826498112794,60.49219264218385,1,1,1,2,C,D,A,0,1,52.049691407595525,80.1838218169554,0,0,1,5,D,C,C,1,Нет
0,9.549389490751492,35.23390728157501,1,1,1,2,B,C,B,1,0,84.73346363948986,56.45912479256776,1,1,0,2,A,D,C,0,Нет
1,91.27266933581538,41.25950002944122,1,1,1,5,C,A,C,0,0,71.72400478378087,14.85476024004595,0,1,1,2,A,A,A,0,Нет
1,34.096097839799185,90.39211273080532,0,0,1,1,B,C,C,1,1,90.111207608044,85.29957191365756,0,1,0,3,D,D,D,0,Нет
1,73.17759477375951,51.81311646477427,0,0,0,3,D,B,B,1,0,33.36100795829856,67.42619027676614,1,0,1,1,A,B,C,0,Нет
1,14.177828329996577,63.616884159786224,0,1,1,3,A,D,B,0,1,99.00040270459894,18.282288683660397,1,1,1,3,D,B,A,0,Да
1,89.03851323020402,64.07302886360007,1,0,1,3,C,D,B,0,0,84.32870481942089,49.21800310429821,0,1,1,3,A,B,A,0,Нет
0,15.311385824043533,54.477261384491314,0,0,0,1,B,B,B,0,0,14.37979561567191,9.237691332637477,1,0,0,1,C,B,A,0,Да
1,11.297543155297973,27.405928242766986,0,0,1,5,A,B,D,0,0,61.17015757636912,1.120503007159801,1,0,1,1,B,D,C,0,Нет
0,81.93548519053455,8.98037668649656,1,1,0,4,A,B,D,1,1,22.474007270010286,14.971334497846478,0,1,1,1,A,A,D,0,Нет
1,60.63482607187707,34.35025688195462,0,1,0,3,B,C,B,1,1,93.3591388513237,97.84809757598227,0,0,0,2,B,B,A,0,Нет
0,38.497795784768826,24.878807745483,1,1,0,4,D,C,A,0,0,25.2877099108639,25.89042808974733,0,0,0,5,A,B,A,0,Нет
1,35.10473623108611,47.300850557870966,0,0,1,5,C,B,D,0,0,84.16320272392197,0.3791754458333241,1,1,1,1,C,B,A,1,Нет
1,3.029073398997173,10.543203153189317,0,0,1,5,B,B,A,0,1,16.815076174269905,85.47105925243712,1,1,0,3,D,B,A,0,Нет
0,70.6774261748013,55.40347943472741,0,0,0,3,B,D,D,0,1,14.646472327293857,37.887465793128314,1,1,0,1,A,D,A,1,Нет
1,52.22247951724184,76.57642899620971,0,1,0,2,B,B,B,0,1,27.164008226977455,46.21964063945918,0,1,0,3,A,D,D,1,Нет
0,46.05337329058427,51.81435193648552,1,0,0,5,D,A,C,0,1,72.33207279177047,34.63714449173415,1,0,0,2,D,A,C,1,Да
0,38.15205048390881,68.18455876930129,1,1,0,4,B,B,C,0,1,49.44534044896426,28.518698848027125,1,1,0,3,C,C,B,0,Нет
0,65.44077833568063,14.02991304096427,1,0,0,4,D,D,C,1,1,80.61473075397191,73.21968222488682,1,0,1,2,D,D,B,0,Нет
0,3.7021367512840353,11.962183689887585,0,1,0,3,D,A,A,1,0,42.705245125862476,50.95591146495163,1,1,0,2,A,D,D,1,Нет
1,90.3206910958449,5.889470659997443,0,0,1,3,D,D,D,1,0,84.9358156217734,45.63757939433043,1,0,1,4,D,B,C,1,Нет
1,44.17942728564148,65.85857184833263,1,0,1,1,C,A,D,0,1,64.8765995191552,97.84257344524846,0,1,1,1,B,B,C,0,Нет
1,64.89095803811028,43.70392144406211,0,1,1,2,C,B,D,1,0,1.4875426408476833,14.566328274324514,0,1,1,4,B,C,C,0,Нет
0,26.572040235234752,61.81046295634266,0,1,1,5,B,C,D,1,1,59.355684821734265,35.25511412026185,0,0,1,1,B,B,C,0,Нет
1,3.131830861689211,19.695244645018505,0,1,1,3,D,A,B,1,1,11.21124429914776,48.3300855502252,0,0,1,1,A,A,C,0,Нет
0,15.126968017222808,21.398962329384087,0,1,0,4,D,B,B,1,0,23.283928717565505,87.80463331568147,0,1,1,5,B,C,B,0,Нет
1,35.70111537082887,46.77863740802258,0,0,0,1,D,C,A,1,0,76.72939225135065,40.40430302274368,1,0,0,5,B,D,D,1,Нет
1,26.766263389474187,66.27214670277782,0,0,0,2,A,B,A,0,0,68.35583997155317,93.77381714746718,1,0,0,5,A,D,A,1,Нет
0,81.02001397034776,34.76650600726001,1,0,1,3,D,A,A,0,0,31.404358668658816,81.22441439420875,1,1,0,3,A,C,D,1,Нет
1,38.67148215532838,10.994507446917446,1,1,0,3,D,B,D,0,0,90.51061916986112,7.719260621405333,1,1,1,1,B,D,D,1,Нет
0,46.69018186093253,59.64113518368934,1,0,1,3,B,A,B,1,0,79.19743228980767,94.40837081908174,0,0,0,4,C,A,D,1,Нет
0,19.820603241338475,88.34549408385494,0,0,1,1,C,A,A,0,1,49.7935248226826,14.499900781156171,0,0,1,1,A,B,C,0,Да
0,42.81513999978696,71.83682998688474,0,1,0,2,D,C,A,0,0,29.006650879423525,95.27160989417146,1,0,0,1,A,C,B,1,Нет
1,99.89650383474472,40.705170967207216,0,1,0,1,A,C,B,1,1,17.30443378575366,28.545604293410996,1,0,0,5,A,C,B,0,Да
0,27.889105593428354,52.499586602830085,1,1,0,2,A,C,B,1,1,73.81309302546182,13.733703948837261,1,0,0,4,D,C,B,0,Нет
1,50.8322590715948,22.904068944697798,0,1,0,5,C,A,B,1,1,99.86247559734802,10.580357560025144,0,1,0,2,C,C,D,1,Да
0,97.85122977510969,7.973307347569037,1,1,0,2,C,B,B,0,1,48.635001435804405,48.536421946004516,0,1,1,5,C,C,D,0,Нет
0,26.71939239241794,59.59673684610106,1,1,1,2,C,B,D,1,1,18.830310534229643,1.9338926062509088,0,1,1,4,B,C,B,0,Нет
1,96.74967962217178,13.723688592405924,1,1,0,1,A,B,A,0,1,84.3197890133985,14.950532275964811,0,0,1,5,B,C,B,1,Нет
1,50.421436721601474,23.57515221638684,1,0,0,5,B,C,D,1,1,16.52671830986533,28.07012057898731,0,1,0,5,D,D,A,0,Нет
1,40.989116447555695,24.272541354316225,0,0,1,2,D,C,D,0,1,91.99562713692903,99.54930808728146,1,1,1,5,D,B,D,0,Да
0,42.757089356523814,38.8874782368769,0,0,1,5,C,A,D,1,1,57.18723345551786,0.8650090694043988,0,1,0,3,C,B,C,1,Нет
0,30.539612310854082,53.13022920519761,1,0,0,3,A,A,D,0,0,21.69847087609448,50.89396243828651,1,0,0,2,B,D,C,0,Да
0,98.13395922028673,2.1607740093097516,1,0,0,1,C,B,C,1,1,94.6939393059223,57.46405681709902,0,0,0,1,B,C,A,0,Нет
0,30.058226921208586,76.0856500833199,0,1,1,5,B,C,D,0,0,44.97308669672058,96.15298890013524,1,0,0,2,A,C,D,1,Нет
0,57.120764108857934,80.126346751608,1,1,0,4,B,B,C,0,0,35.971281170823076,22.641507431654617,1,0,1,5,C,B,A,0,Нет
1,70.05364245649479,71.74049846041561,1,1,1,5,D,D,A,0,0,99.29511860192268,84.95264115133207,0,1,0,1,A,B,B,1,Нет
0,18.231966683669608,28.843152154898398,0,0,1,3,C,C,D,1,1,43.491309188419294,72.43830255295302,0,0,0,4,C,C,C,1,Да
0,70.12787716074827,95.58824951483619,0,0,0,1,A,B,D,0,0,83.04222182524498,89.3577131280073,0,0,0,1,A,D,D,1,Да
1,76.98295731199691,47.57922570573783,0,1,0,1,A,D,A,1,0,91.79216870515656,29.46588688550067,0,1,0,2,A,A,A,0,Да
0,9.185497063394655,36.04123234609966,0,1,0,5,C,C,B,1,0,5.631424469545198,73.02969048855059,0,1,0,3,B,A,D,0,Нет
0,56.34525906297853,96.91755178406932,0,0,0,3,A,B,B,0,0,56.98192928203098,17.145948117778175,0,0,0,2,C,D,D,1,Нет
1,36.163863852781006,2.553927396774658,0,0,1,1,B,D,B,1,1,16.735921853793368,4.811777036192111,1,1,1,4,B,D,C,0,Нет
0,80.50236713205267,51.4944545441841,0,0,0,1,B,C,B,1,0,15.114918996607884,67.45607667051956,1,0,1,1,D,A,A,1,Нет
0,14.133375794871196,29.136545645454724,1,1,0,1,D,D,D,1,0,3.8994068745983657,84.69228175452908,1,0,0,3,D,D,C,0,Да
1,55.439454097414966,55.89341233187619,1,0,1,3,C,C,D,0,0,13.472600589990002,99.5758139125404,0,0,0,5,C,D,B,1,Нет
0,61.26106293838318,73.27467141910027,0,0,0,1,B,B,A,0,0,16.78609562013522,64.6049831005093,1,0,0,2,D,B,D,1,Нет
1,53.622112885455195,72.62803893471691,0,0,0,3,C,D,C,0,1,20.931916662840266,98.39060105788485,1,1,0,4,D,B,C,1,Нет
0,33.708216031965634,23.562390846866244,1,0,1,3,C,B,D,0,0,87.36231831680729,97.20338752984092,1,0,0,1,C,C,C,0,Да
0,81.1336918284659,99.37475564569316,0,1,0,4,B,A,C,0,0,61.798884403603395,80.88947018887262,1,0,1,3,C,C,C,0,Нет
0,21.296849040845878,30.622455136250558,0,1,0,3,A,A,A,1,0,95.53714463241262,51.900487652702076,0,0,1,3,A,D,B,1,Да
0,8.228656181887805,24.979586986986057,0,0,0,5,B,D,A,0,1,11.3179501172747,29.392147552179715,1,1,0,3,A,A,B,0,Нет
1,85.90500001510439,4.851391671111916,0,0,0,1,C,B,B,1,1,99.64608953074453,2.7776046099152296,1,1,0,1,D,A,C,1,Нет
