Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Collision
1,71.78559384693385,3,C,1,3,21.669551683705322,3,A,1,Да
5,67.49672696951198,4,C,0,2,56.762728575446786,5,B,0,Нет
1,90.67253775496346,5,B,1,4,17.618001729530675,3,B,0,Нет
4,63.165914208581654,4,A,1,5,94.6274722530418,3,C,0,Нет
2,66.13801377696727,2,A,0,3,53.5118261039696,5,C,0,Нет
3,82.38016368220283,1,D,1,5,41.50382114203989,1,D,0,Да
4,58.908128474673205,3,B,0,3,63.11406908024514,2,A,1,Нет
4,66.04658715126772,4,A,1,3,45.64736596224629,1,C,1,Нет
5,96.48210776502204,4,D,1,1,56.55049487186743,2,B,1,Нет
2,49.438658107514996,4,C,1,5,63.639408184798754,1,B,1,Нет
4,39.50444974670787,1,D,1,1,73.83497568318579,5,C,1,Нет
4,56.27769153572535,4,B,1,1,25.832725490031905,1,C,1,Нет
1,90.5170058291063,5,B,1,5,15.489295383493618,2,A,1,Нет
4,0.23785348988063504,1,A,0,2,25.723881445509654,2,C,1,Нет
5,6.753747367751906,5,B,0,4,96.08896009818572,1,D,0,Нет
4,48.774506797991954,5,D,1,2,82.00468080131431,4,A,1,Нет
1,77.61690490254331,5,B,1,2,22.416170457702556,4,C,1,Нет
5,5.39278634026229,3,B,0,2,48.88697655705687,1,B,1,Нет
1,76.77338532719307,2,B,0,4,39.01361013832055,4,B,0,Да
2,28.658162562691945,2,D,0,2,85.81147647348956,3,A,0,Да
5,7.218086858638761,5,A,1,2,52.51008323606256,4,C,1,Нет
5,81.81197826940854,5,A,0,1,73.68525266419915,3,A,0,Да
2,69.8151177361717,3,A,0,5,57.71246255633316,4,B,1,Нет
2,9.522317514591084,2,C,0,5,40.920391491956295,4,B,0,Нет
5,58.45678921595609,3,A,0,1,81.1680577545198,3,C,0,Да
2,3.157158268583393,2,A,0,3,74.03773945211684,4,C,0,Нет
5,15.027982293406062,2,A,1,3,46.99530744172532,1,A,1,Да
1,15.993664702988674,5,D,1,1,83.58481727418015,2,D,0,Да
1,66.96786263406732,2,B,0,5,38.28004607501325,4,A,0,Нет
3,36.09684907671866,4,D,1,5,55.78901106414577,5,D,0,Нет
5,46.01259736631149,5,A,1,5,3.2608458302937238,2,A,0,Да
2,73.21230486669981,1,B,1,4,3.7011828715026174,4,A,0,Нет
3,17.013551473378197,3,D,1,4,78.40388049479131,1,D,1,Да
4,1.6774088074371307,1,A,1,2,1.805676028424441,4,C,1,Нет
2,23.499590659775784,2,A,0,3,77.45434508392522,2,A,0,Да
3,14.174663585718417,3,C,1,3,36.3432666083895,2,D,1,Да
5,81.96271347835943,1,B,0,5,13.180566054277854,3,C,0,Да
4,35.77584640875601,2,A,0,5,97.04304580506722,4,B,0,Нет
3,65.6409347733895,1,D,1,5,85.29886056107001,4,A,1,Нет
1,65.59289648560917,3,C,0,5,69.33073798492211,2,B,1,Нет
1,68.9721879956119,3,B,0,5,37.64126753232062,5,B,1,Нет
5,91.43025607142484,5,A,0,2,77.78522078042705,3,A,1,Нет
5,22.679707020342242,4,D,0,2,74.67666882794649,5,D,0,Да
2,50.67506279959283,4,D,1,3,37.734875112647096,5,A,0,Нет
2,69.53707541070578,3,C,1,3,77.75826500567851,3,B,0,Нет
4,26.793038688110116,5,B,1,4,36.92811364527165,2,B,1,Да
5,57.35823216688382,3,B,0,1,30.043378437301584,3,B,0,Да
2,33.59894071920893,5,D,0,2,99.3456796505944,1,B,1,Нет
3,57.11827413002729,2,C,0,2,87.27758006584762,5,B,1,Нет
2,42.33202843824946,4,C,0,2,89.02206430380174,4,C,0,Да
4,59.93536379216059,1,C,0,4,12.547150827695964,1,A,0,Да
5,87.15276848477286,2,D,1,5,80.30952522880855,5,B,1,Да
1,83.64364966017101,3,B,0,2,67.25769677113456,3,C,0,Да
2,68.26836591698708,5,A,1,4,9.107545300667397,5,D,0,Нет
2,24.200402441152036,2,D,1,3,73.48829827506808,3,A,1,Нет
5,92.79998086523302,2,D,1,4,98.42461473715606,1,D,0,Нет
3,82.82416086340241,5,D,1,4,80.4881032114818,1,A,0,Нет
2,74.18357599710468,4,C,0,4,32.81634656443955,4,A,1,Нет
2,61.202962871128285,3,C,0,2,56.07430190051691,1,A,1,Нет
3,80.96353501503752,2,D,1,2,40.12588766318601,3,B,0,Нет
1,27.59022117563147,1,B,1,4,92.08706779223607,3,A,1,Нет
2,16.726121161107145,3,C,0,3,62.4211285879907,4,D,1,Нет
1,42.87856193790304,4,B,0,5,97.53946487559443,2,A,1,Нет
3,8.697962574613548,5,B,1,4,69.76698364714355,4,C,1,Нет
4,77.73900025333008,1,A,1,5,86.50811368516219,1,A,1,Да
4,94.58098091947959,5,B,0,3,10.998332550685475,4,D,1,Нет
3,93.28755548318823,4,A,1,2,33.247645111294254,3,B,0,Нет
2,53.86007609001952,2,D,0,4,48.66169688429237,4,B,0,Нет
5,80.0869376618949,3,B,0,1,53.6338934820183,2,A,0,Нет
2,6.145559168131298,1,C,1,2,56.721415799731176,4,D,1,Да
4,89.35656360099577,1,B,1,2,91.08759631142328,1,A,1,Да
1,61.660140496191886,2,C,0,5,33.58161909006186,2,C,1,Да
3,58.06535609839554,5,A,1,1,21.467852643699846,3,A,0,Нет
3,26.743917454346665,1,C,0,1,47.82028492949435,4,A,1,Нет
2,34.18900861998164,4,D,1,3,40.554773858376535,3,D,0,Нет
2,77.66174185684008,4,B,1,5,39.36672718061308,3,C,0,Нет
2,24.84198158812201,4,C,0,4,21.324863220381506,3,A,0,Нет
5,68.37548407750006,1,A,1,5,75.56876450012598,5,A,1,Да
1,47.240441455562085,1,B,0,4,78.57524054158297,3,D,0,Нет
3,75.33832942016487,2,A,1,4,86.83692342901973,2,D,0,Нет
5,61.78727058734831,2,D,0,3,55.88881047712631,5,B,1,Нет
3,98.5691094944427,4,B,1,4,22.160849701007614,2,D,1,Нет
1,54.50307454099129,3,B,1,3,42.826775742021304,4,B,0,Нет
3,54.30733923151914,5,C,1,4,23.619981302803474,5,A,0,Нет
3,62.79356706849056,3,D,1,2,79.13925871542679,4,B,1,Нет
3,40.48551611481751,3,C,1,1,49.774611168425686,4,B,1,Нет
5,74.40057904355172,3,B,1,2,35.46407801251716,2,C,0,Нет
1,22.919821783813067,3,A,0,4,43.14539944516662,2,A,1,Нет
4,16.468311058122097,2,C,1,4,70.37127706514035,5,C,1,Да
2,17.745656501627426,2,B,0,2,6.518406327665116,1,D,1,Нет
4,96.43179489476054,1,A,1,2,92.35462959179372,4,D,0,Нет
4,74.09818490648568,5,D,0,3,36.655939794428974,2,C,1,Нет
1,55.215458876318614,3,B,1,5,39.595558692765806,5,C,0,Нет
1,55.486959043687314,1,C,1,4,36.761151038947204,1,B,1,Да
5,69.58143768339696,2,C,0,5,98.41040447076632,2,D,1,Да
2,31.496448473129345,1,C,0,4,6.5769714578476135,5,A,1,Нет
4,59.61659826905829,5,A,1,5,96.33139453097407,3,B,0,Нет
1,1.9419181895499182,3,A,1,5,56.23283860354443,4,B,0,Нет
1,6.619586685697609,3,A,0,1,11.180867683241157,3,D,1,Да
5,67.90929655729715,2,C,0,3,7.078308169078607,3,A,0,Нет
2,76.45946576320534,4,B,0,2,26.00160318061292,3,A,0,Да
4,59.8762141916935,2,D,0,4,17.393630112449586,4,A,1,Нет
3,37.873977577512484,4,A,1,3,96.000375590415,2,D,0,Нет
4,8.47188934322023,4,B,0,4,58.13683870574467,1,A,1,Нет
5,81.73146228276065,4,A,0,5,4.213314105048793,5,B,0,Да
1,14.525574216688819,5,A,1,5,31.752919035221506,5,B,0,Нет
4,77.68836493334047,1,B,0,4,16.081396760618418,5,C,0,Да
4,34.21931120342697,5,A,0,3,41.610209388958175,1,B,0,Нет
4,74.87992594433037,1,B,1,3,17.4332752106211,5,D,1,Нет
5,61.26436096031973,2,D,0,4,5.083429996028821,5,C,0,Нет
4,8.960252354618447,3,D,0,2,61.87168089688455,5,B,1,Нет
2,36.188095429164946,5,D,0,4,38.20177403646087,5,B,1,Нет
3,22.732904077539718,1,A,0,3,76.20013189036919,5,C,1,Нет
4,61.83411952865973,4,B,1,3,88.6138251782369,2,A,0,Нет
2,75.6125079776036,5,D,0,4,9.413427234609816,3,A,1,Нет
2,72.28252628688831,5,B,0,4,66.00449025772053,5,B,0,Да
1,46.57105390970763,2,B,0,4,22.71802727911849,3,A,1,Нет
4,43.236464563715984,5,D,1,5,12.373605637685692,4,D,0,Нет
5,80.51441513610214,4,B,1,5,98.38644187208921,1,A,0,Нет
3,0.48480911951797045,2,D,1,3,50.45243181277008,1,D,0,Да
3,88.00175571806183,5,D,0,1,33.46402588544875,1,D,1,Нет
1,1.9188297177353708,5,C,0,4,30.583810456767925,3,D,0,Нет
5,81.22748024586839,1,A,0,5,48.19743950251487,1,B,1,Да
3,50.6537389513704,2,C,0,3,85.31988480768143,1,C,1,Да
5,65.13287990927083,5,A,0,5,77.9721111079031,4,B,0,Да
3,66.77783456245818,1,D,1,4,33.19050984201874,4,B,1,Нет
3,73.66521547427635,3,A,0,5,22.77467965689366,1,C,1,Нет
1,47.04718771700872,2,A,1,5,7.012926196588365,4,D,0,Нет
2,41.374876161035715,2,D,1,3,43.8577955571615,2,D,0,Да
2,12.963022728662764,2,A,1,4,59.24380283895068,2,C,0,Нет
2,4.335234384116982,5,A,0,4,93.753666913851,1,D,0,Нет
2,24.875793763674782,2,C,1,4,92.45852523117004,5,D,0,Нет
4,29.916249918302405,4,C,0,1,34.01643125236531,2,C,1,Нет
4,46.40654347227178,2,D,0,5,86.22985796931476,2,C,0,Да
3,34.73755447366571,3,C,1,5,52.55015954022593,5,C,0,Нет
1,13.084333209431442,5,D,1,3,96.83404617200753,5,A,1,Да
3,41.77987599848725,2,C,0,3,17.416228253861043,4,A,0,Да
4,56.98820419441748,3,B,0,1,79.8251184431149,1,D,0,Нет
4,17.87437440922114,5,A,0,5,80.24178229533786,5,C,0,Да
5,46.36398801748501,1,D,1,4,26.231090503166644,4,D,0,Нет
1,63.413422730225356,2,D,1,5,57.947008728173245,1,C,0,Нет
2,23.630508416333896,1,C,1,5,4.187764582777032,5,D,1,Нет
2,93.80143392791545,5,C,1,2,1.0650505979257652,4,C,1,Да
4,41.27173108366227,4,B,0,1,43.91156699881529,3,B,1,Нет
2,67.10199571276038,2,C,0,5,11.61765664381943,3,B,1,Нет
5,4.567144640059428,3,D,0,4,41.53105699113576,3,A,1,Нет
4,5.417448598152297,4,B,0,1,56.501051250867796,3,D,1,Нет
4,42.61052452850915,2,A,0,3,25.80436128932062,3,A,0,Да
2,48.64150733456174,1,A,1,5,42.11313733118407,2,A,0,Нет
3,96.74626212342069,5,B,1,4,53.61231411665535,4,B,1,Да
2,19.031250885245164,3,C,0,1,95.59157252676309,5,D,1,Нет
3,3.0297943187412635,3,B,0,3,59.84544435535479,1,B,1,Да
3,55.449899332131544,2,B,1,5,4.027430578902836,4,B,0,Нет
4,57.93787182000501,3,B,0,2,19.302772276709533,3,B,0,Да
5,83.7748866671493,1,B,0,1,39.18184078115379,3,A,1,Нет
2,11.081279704605617,1,A,0,4,25.43807238554202,3,C,1,Нет
4,31.920411305397046,2,C,0,1,77.70577183817277,3,A,0,Нет
3,45.94926154913529,5,B,1,3,89.41457076274291,1,C,1,Да
5,98.85587267195687,3,D,0,5,9.739289990927292,2,A,0,Да
4,87.96351994635809,2,D,1,1,65.66755306964848,5,B,0,Нет
1,17.831769687633958,3,D,1,5,88.09478832459419,4,C,1,Нет
5,59.819190632332095,3,A,0,4,30.798319159795906,2,C,1,Нет
3,19.544258176569574,1,C,0,2,48.225517919280435,5,D,0,Нет
3,87.11216057636926,4,D,1,2,50.60741668769748,4,C,0,Нет
3,55.79821663131251,4,C,0,5,74.33254707605572,1,C,0,Да
4,7.263728750466692,5,A,1,1,66.16785605693872,5,A,0,Да
2,5.76365064532024,5,C,1,2,57.94909495617535,4,D,0,Нет
3,2.828236609867496,1,A,1,3,46.72227301636364,5,A,0,Да
3,42.75146207414301,5,A,1,2,21.958148785849463,3,C,1,Нет
1,55.21021120277538,2,B,1,5,25.71028590263149,4,A,0,Нет
3,60.355482131841775,2,A,0,4,20.513104952576256,3,A,0,Да
3,85.27789554986198,4,D,1,5,35.55137269072244,1,A,0,Нет
1,79.60540201206065,1,A,1,5,91.80378634512626,1,B,0,Нет
5,87.2485981974235,5,A,1,3,77.91620758010548,4,D,0,Нет
5,42.14595174560799,4,D,1,4,25.917404758408658,5,D,0,Нет
4,14.888351817002066,1,D,1,1,60.38325758361902,3,C,1,Нет
1,34.44417903240542,4,C,1,4,62.007500899420045,5,B,0,Нет
4,99.71160324487313,3,D,0,5,64.22409408167877,5,D,0,Да
1,84.61199383990406,5,A,0,3,39.17231554340339,1,D,0,Нет
4,13.071258715039269,4,B,1,4,57.122347818974596,1,C,1,Да
4,93.3295974557015,5,D,0,5,51.87112184914765,1,C,1,Нет
5,6.096494878495607,5,C,0,1,1.070944305689292,4,A,0,Нет
3,86.6936188398473,4,A,1,3,65.01783714664072,2,D,0,Нет
3,93.20529599858479,5,A,1,1,29.91772967019437,1,B,1,Нет
2,45.198345380608714,4,D,0,2,54.11380228563662,5,A,1,Нет
3,95.70686803647746,3,D,0,1,13.594035586246223,2,C,1,Нет
