Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Collision
D,1,0,70.7282424235463,D,4,1,99.1184263124836,Нет
B,4,0,98.72822045705203,B,3,0,35.79800945741678,Да
D,1,1,45.13040544601249,C,3,1,41.433142562988024,Нет
C,3,0,40.28366848743763,D,4,1,79.36541892977186,Нет
A,1,0,58.87612011406128,D,5,1,86.04891320824277,Нет
B,5,0,27.342369718247795,A,1,0,65.65134757217884,Нет
A,4,0,93.18897736260347,D,5,0,48.29831156379147,Нет
D,1,1,88.79492385539443,B,4,0,48.581269635954996,Нет
D,3,0,94.13612128036296,B,2,0,11.283186945763246,Нет
D,2,1,40.02097653934646,C,2,0,14.614819887300545,Нет
C,1,0,23.06169673632612,B,3,1,28.72649728011686,Нет
B,1,0,63.84034096229343,C,3,0,27.305544463138375,Нет
A,4,1,13.210556563115139,D,2,1,5.401866360652951,Нет
D,1,1,3.7886655450667606,C,2,1,31.706176378221183,Нет
D,2,0,26.517935542987793,A,2,1,94.7757417609875,Нет
B,1,1,18.10905744297958,C,5,1,84.07525090318356,Нет
A,4,0,46.99900899727385,D,5,1,30.34615065043943,Нет
C,4,1,35.1028616451736,A,3,0,97.36653975738831,Нет
C,4,1,96.17728519061937,B,3,1,25.853196056171324,Нет
D,4,1,10.795360189327974,C,4,0,81.21139803764918,Нет
C,2,0,76.49193238153464,C,5,1,33.56445854833069,Нет
A,5,0,39.2466672550504,B,5,1,39.039225159952785,Нет
B,1,1,97.48564746019184,B,4,0,60.9902946731787,Нет
A,2,0,7.424584893190023,D,2,0,3.6570469971493713,Да
B,2,0,52.62603305295708,D,4,0,35.191016113748816,Нет
B,3,0,73.21339631215136,C,4,0,4.846005605189784,Нет
B,4,1,45.18024165160712,B,4,1,15.149499696025082,Да
A,2,0,36.37308481223128,C,5,1,64.57806912380356,Нет
C,1,0,8.813739074526294,A,2,1,22.832646968803427,Нет
A,1,1,7.076251303770742,B,3,0,22.28671206289643,Нет
D,4,1,39.08130745292272,C,1,1,68.7027894721533,Нет
D,4,0,11.986162899974651,B,4,1,61.38371452237313,Нет
A,1,1,23.899108839306326,A,5,0,86.08563491006544,Нет
D,1,0,65.80168484023599,A,3,1,52.9664279612158,Нет
A,2,0,7.690728248492662,A,2,1,60.716011826596805,Да
C,4,0,30.327975528404462,C,4,0,17.23121329857602,Да
B,1,0,0.15410780138032099,C,1,1,68.38394530807817,Нет
D,2,1,85.70306588346025,D,4,1,67.69600722600674,Да
B,4,0,61.21972161948441,D,1,0,32.122311946607574,Нет
A,3,1,4.018177400760747,B,1,0,68.80035603201023,Нет
B,4,1,74.25643255041972,D,2,1,97.66267314249616,Нет
B,2,0,4.826824252738882,B,1,1,68.65693078969693,Нет
C,1,1,26.265089071600435,C,3,1,92.85902367806112,Да
D,5,0,17.054647656509648,B,3,1,20.38436722655863,Нет
A,2,0,17.790464984395136,A,3,1,5.272771524528386,Нет
C,4,1,21.302192586588255,C,2,0,35.2667102608896,Нет
B,1,1,89.26885565426241,C,1,0,38.15917895479956,Нет
B,3,1,93.10653134625755,C,3,1,26.87410405495304,Да
C,4,1,85.57144812846838,B,4,0,27.641629639928865,Нет
D,3,1,68.65438788033802,D,4,1,42.35887761435091,Да
B,2,0,65.85359237588015,A,1,0,8.109124120591337,Нет
A,5,1,16.837773049224005,C,5,0,63.65171017519921,Нет
D,1,0,94.78350006721612,D,1,0,43.38367065283276,Да
A,1,0,35.78781270581353,B,2,0,77.19469618156661,Нет
D,2,1,43.379789376001085,A,4,0,41.77346241518578,Нет
B,1,1,30.77956809268205,A,4,1,61.440389934443495,Нет
C,3,0,97.26104553490363,D,2,0,79.03134439415675,Нет
C,4,1,89.15103409458287,C,2,1,9.804168609864261,Да
C,4,0,73.04336367260757,A,3,0,95.78145157338113,Нет
D,4,1,71.13297099023872,C,1,0,95.17364928738918,Нет
B,5,1,6.116196862741807,B,4,1,58.11017659715755,Да
C,3,0,93.03584338601716,A,2,1,29.975231263386238,Нет
C,2,1,34.092938831716246,C,4,0,66.52900916957343,Нет
B,1,1,19.637879035713823,A,1,0,43.97198442841408,Нет
C,5,1,97.19122273297668,C,1,0,40.34949118703731,Нет
B,2,1,72.22567506412153,A,4,0,5.972496133428706,Нет
C,4,1,93.92079808272484,C,5,0,77.19796283613721,Нет
D,2,0,22.35978026403105,A,1,1,62.27449857776593,Нет
C,2,0,69.29860773783851,B,1,0,81.35825356519774,Нет
D,4,1,70.44021371276303,C,5,0,85.81503278052034,Нет
D,5,1,26.45044189118597,B,3,1,4.884494389976368,Нет
B,5,0,29.23484254704517,C,3,1,68.51081409209925,Нет
D,2,1,77.18650429662458,C,3,0,15.529792041810653,Нет
C,2,1,72.74852067135592,B,1,0,56.67125002018266,Нет
C,2,1,66.40067000456456,B,1,1,2.61020006110112,Нет
A,2,1,5.674207044348256,A,2,0,49.564007654120765,Да
D,4,0,97.52871554557917,B,1,1,74.50923999824319,Нет
A,1,1,29.919334787803965,C,2,1,63.36904633575895,Нет
C,2,1,44.92724038216663,B,3,0,83.9447153916829,Нет
C,2,1,22.029811416207078,D,5,1,86.78461113405098,Нет
B,3,0,5.125220397808228,B,5,1,32.835188851051825,Нет
B,2,0,37.09435012862955,A,4,0,17.662668413180594,Нет
C,3,1,77.5044927593319,D,3,0,36.6430383073923,Нет
D,2,0,78.6734662144976,A,1,1,81.41608558173586,Нет
D,4,0,31.22758159185912,D,5,0,44.60073114262486,Да
C,3,0,29.150819186267086,D,5,0,8.686850091124242,Нет
D,1,0,71.53775338934105,A,1,0,61.5449949747929,Да
B,1,1,51.77028298950389,A,1,1,81.96077990706331,Да
C,2,1,18.44319101480466,C,2,0,13.046556417622558,Да
C,5,1,47.025155127877184,C,5,1,15.56372938806746,Да
C,3,1,57.609815115958384,B,4,1,24.36850132218784,Нет
B,5,0,58.180892109925885,B,4,0,38.5236541665261,Да
A,3,0,4.065877157923015,C,4,1,36.7536041309112,Нет
C,2,0,28.327824830224024,B,5,1,47.30264867700289,Нет
B,3,1,2.3263060779100675,D,4,1,20.9271641492101,Нет
A,4,0,57.97869089997777,C,1,0,38.650138324402526,Нет
C,5,0,72.10595312381912,D,4,0,40.81438430043517,Нет
D,4,0,62.93165898740788,D,4,1,71.55193528016117,Да
C,1,1,45.96336250681663,B,1,1,33.44107819502179,Да
A,3,0,11.099439040392568,D,5,1,61.83117458664292,Нет
B,4,0,8.630204219368643,D,2,1,60.34114977491578,Нет
D,4,0,65.3904684946563,B,1,0,18.986710499373338,Нет
C,5,0,71.7372025916431,C,4,0,65.57183168000999,Да
B,2,1,29.698297323842006,C,3,0,23.60939696578085,Нет
B,3,0,21.732056133729614,B,2,1,72.07178001474239,Нет
C,3,1,69.79670741616705,B,4,1,20.59238246585673,Нет
C,3,1,17.27173112044541,D,1,1,12.55442286255798,Нет
C,5,1,78.63359820784643,D,4,0,34.02244907401588,Нет
C,3,0,82.39645808100978,A,3,1,56.08874671898882,Нет
B,3,0,46.09648817552922,C,1,1,99.71217104215687,Нет
D,4,1,46.182071431120775,B,2,0,5.860743997960494,Нет
C,4,0,35.977732916999905,A,3,1,40.52989447583262,Нет
C,4,1,54.47896250344182,B,4,1,54.504937867471256,Да
C,3,0,29.09354070606146,C,5,0,99.06854443566775,Да
C,3,0,89.51441451839368,A,3,1,81.75187425903715,Нет
A,5,0,51.14420631556538,C,3,1,37.55057456051409,Нет
D,1,0,33.116543802884294,B,3,0,57.09635532287313,Нет
