Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj1_Feat10,Obj1_Feat11,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Obj2_Feat10,Obj2_Feat11,Collision
B,37.119326214896454,2,3,D,D,5,2.982749631060877,1,C,1,C,98.19743124396011,5,1,C,B,3,65.52537863165026,1,D,1,Нет
B,36.3983631312577,3,1,D,B,3,30.09296502092249,0,D,0,D,78.3549499723231,5,1,B,A,5,27.64070438585764,1,B,0,Нет
D,76.96636207892128,1,4,B,C,5,79.23080752685979,0,C,0,D,27.30739101173796,4,4,C,D,1,69.88969169636356,1,B,0,Нет
A,78.57313093182019,3,3,B,C,4,58.75949458914642,0,D,1,C,87.29257923407653,3,2,A,A,2,30.258043006077372,0,C,1,Нет
D,20.74140748616894,3,1,B,B,2,23.155573923103546,1,A,1,A,66.30525402165095,4,5,B,D,2,68.30255309134856,1,D,0,Нет
B,25.830046852939383,3,4,C,D,5,85.73982849400932,0,D,1,C,43.563002100113565,2,5,D,B,3,92.39404311509453,1,A,1,Нет
B,50.689957805326515,1,5,B,D,2,60.85087974965005,0,C,0,A,60.87311801495369,3,1,A,B,2,87.61126169963143,0,D,0,Нет
A,6.392922957625425,3,4,D,D,4,75.73129522315311,0,C,0,A,32.193466060732455,5,5,B,B,2,56.19713961549756,1,D,1,Нет
B,88.8221817011235,5,4,D,D,1,20.122522706604904,0,A,1,C,27.9485060727962,5,4,B,C,4,2.5862479920131687,1,B,0,Нет
C,2.9764945249363906,3,2,C,C,5,34.156258490101685,0,A,1,B,99.52781729698737,2,3,D,A,1,54.269808582467995,0,C,1,Нет
D,80.98514756865478,1,2,C,A,5,10.43269275176395,1,A,1,C,50.17950517142054,2,2,D,D,5,38.09797202502496,0,A,1,Нет
D,89.47963930144661,2,2,B,B,5,49.770014685709086,0,A,1,D,73.35186948829072,2,3,A,A,2,94.75495271133657,1,C,0,Нет
D,3.14091717280669,3,5,B,C,2,38.07941423822621,1,D,1,A,74.23479428256873,1,3,B,B,4,65.18418954472035,0,C,1,Нет
D,55.739894605327166,4,1,C,A,3,85.54844531327696,1,B,0,B,88.88980087083841,3,1,C,C,3,13.241114649672358,0,B,0,Да
C,17.92211602372834,1,5,C,D,1,74.27447436549322,0,C,0,B,1.4327188519504208,1,3,A,B,5,24.942084804207187,0,C,0,Нет
D,50.72845493829619,4,3,B,A,5,2.5228421842275695,1,B,1,C,86.8415683120315,1,4,D,B,4,24.814177620948897,0,A,0,Нет
D,22.053311702669774,5,4,D,B,5,21.447872559851866,0,D,0,C,85.23177303202301,5,3,B,B,2,51.25953732702019,1,A,0,Нет
B,63.30745754717392,2,2,B,B,2,56.100277922516185,0,B,0,A,85.16715805460649,3,5,A,B,4,27.115128303768888,0,A,0,Нет
C,93.58980515159624,2,5,D,C,2,80.79735417724177,0,A,0,B,21.527635073154492,2,4,C,A,2,15.61794333830333,0,D,0,Нет
C,24.378994847831937,5,2,D,B,2,82.69361161723093,1,C,0,A,39.982511439043996,5,1,C,A,1,55.174916715909525,1,C,0,Нет
C,36.45463697498411,2,2,B,B,2,78.90981522559551,1,A,1,B,46.88948303096445,1,3,A,A,2,66.49382395853878,0,A,0,Нет
B,17.482468128749296,5,1,A,B,1,43.83560557313356,0,B,1,D,39.60422782365558,1,5,D,D,5,91.52510670313077,1,A,1,Нет
C,4.29171599543422,4,4,C,C,3,22.8319081430733,0,A,1,D,88.05357330970594,3,3,C,C,5,61.222135783631124,1,C,0,Нет
C,40.614347734151345,3,2,A,B,2,19.619793133241934,1,D,1,B,66.91117184666783,3,5,A,C,5,1.5669576730462764,1,D,0,Нет
A,75.72835094733783,3,4,B,A,2,93.29958756735344,0,D,1,C,6.0315126745237535,3,2,D,A,2,8.836390190442422,0,C,1,Да
C,82.30399972644311,3,4,B,D,3,72.87135656564745,1,A,0,D,15.814045741344774,5,4,A,C,4,1.270648723268497,1,D,1,Нет
A,64.18902238498009,1,5,B,A,4,99.56875216877896,0,D,1,D,81.41968331458312,2,5,B,D,5,35.99033590923027,1,A,0,Нет
C,54.81927883288883,3,4,C,A,5,57.08689602818532,1,B,1,C,6.642705446814212,4,1,B,A,1,66.88973550129863,0,A,1,Нет
D,55.43846825496256,2,5,D,B,5,85.48539028537408,0,A,0,C,85.55987916908663,5,4,C,C,3,3.549794692461161,1,C,0,Нет
B,29.673439714878914,5,1,A,A,3,50.76883744386529,0,C,0,B,98.05757212358432,3,5,D,B,5,92.44290947267636,0,A,1,Нет
B,96.43194971514455,4,1,D,C,1,74.16391643021484,1,A,0,B,90.96802142943187,2,2,C,B,3,15.347812184654973,0,B,1,Нет
B,13.091610153784838,5,3,B,B,3,8.251769447317969,0,C,0,B,65.32601007223961,5,3,D,A,3,0.5509820858974557,0,A,1,Да
D,27.07761264247901,1,4,D,B,4,50.2310033233175,1,B,0,D,88.3359472544652,5,2,D,A,2,17.926722168120023,1,B,0,Да
C,20.30064773745106,5,5,C,A,5,70.02356542497637,1,A,0,B,21.29580062572912,2,1,D,D,2,20.721563703614077,0,D,0,Нет
A,64.57456834152097,3,1,C,C,4,89.3642454488674,0,A,1,D,64.75822792532927,3,3,B,C,2,98.94730023493236,0,A,0,Нет
A,29.917702794149438,1,5,C,D,2,3.5139751930090446,1,B,0,D,81.30569179609554,3,5,A,C,4,75.2857243916506,0,A,1,Нет
A,52.854621024259444,2,2,D,A,4,27.056023612322523,0,D,0,A,91.96264788354092,4,5,A,B,2,95.2295379728538,1,D,1,Нет
B,43.77262139088233,5,5,C,A,3,76.27433141016863,0,D,1,A,97.17695609566836,4,1,A,B,1,39.80963148563025,1,A,1,Нет
D,7.7482449090979895,2,5,A,D,4,68.74207775173562,1,A,1,B,37.19830080050475,4,5,A,B,1,15.295715987807935,1,A,0,Нет
A,36.973263124434254,5,2,D,D,3,3.2694797446639723,0,A,0,A,95.28061835764183,4,4,D,D,3,26.304143738317855,1,D,1,Нет
D,57.6811556332645,1,3,B,B,4,32.675741904208834,1,A,1,A,33.55089415674408,2,1,C,A,5,21.362798128796832,0,C,1,Нет
A,5.318629495165905,3,4,B,D,5,4.048626631015151,1,D,0,B,24.923240997564257,4,1,D,C,5,98.58306989864111,1,C,0,Нет
A,34.03476739395579,1,2,A,A,5,61.97979737046479,0,D,0,D,48.06059320114828,1,3,B,B,3,61.974395146261585,0,D,0,Нет
D,44.77624765265698,3,2,B,D,2,90.54771292094172,0,A,0,D,52.77932653074588,3,5,C,C,5,44.71952216542759,0,B,0,Нет
A,12.87662437903182,3,1,B,B,2,90.10258896678728,0,C,0,A,90.15501463533052,1,5,B,A,3,33.276494690694115,0,A,0,Нет
A,36.2985591127685,4,5,D,D,1,80.56187425525995,0,C,1,C,7.713800233380052,1,4,D,B,1,12.21298096926735,1,B,0,Нет
C,74.0820908162621,2,1,A,C,4,28.69683042502208,1,A,1,B,5.1087520128521025,5,2,D,B,3,90.83197487707334,1,A,1,Нет
B,71.02309384008532,1,5,D,B,1,38.93020534641678,1,D,0,A,0.5590863455976036,1,2,D,B,1,13.122473291342661,0,D,1,Да
D,40.07248784352859,2,3,B,C,2,87.24236310140168,1,B,1,A,87.60563850987108,5,2,C,C,5,16.284069960666148,0,B,0,Нет
A,80.08388732510102,5,4,C,A,1,85.60754060443125,0,C,1,C,68.41221866513825,3,2,D,C,5,24.926421988542756,0,D,0,Нет
D,9.102081965767017,5,2,D,A,1,77.62837429137406,0,D,1,A,69.88475456780796,5,3,A,A,2,69.3270102530343,0,B,0,Нет
D,81.29762165633099,4,5,A,B,1,85.02076206212915,1,B,0,B,92.14627891541566,2,4,C,A,3,75.04232757010836,1,A,1,Нет
A,76.83481201470613,5,5,D,C,3,76.43087322836126,0,B,1,A,28.44048575367737,3,5,C,A,1,82.10775754229279,1,A,0,Нет
C,81.19098818981112,5,5,D,D,5,35.521642040589896,0,A,0,B,48.679500942591716,3,5,D,C,1,83.60308286368246,0,A,1,Нет
D,10.306249101460619,1,5,C,B,2,57.455591801954306,1,A,0,D,13.67457782978061,2,3,D,B,2,79.07182277132932,0,C,0,Нет
A,71.61365059489813,1,1,C,B,2,39.86355688302269,1,B,0,D,33.43998980995858,4,3,B,C,4,60.446605664378694,1,B,0,Нет
B,40.79870710124596,3,5,A,D,5,25.544338766555352,0,C,1,C,35.34672444629469,4,3,C,D,3,44.39301116363893,0,B,0,Нет
B,1.830115434392865,2,3,D,D,4,93.91635904628095,0,B,0,A,74.11635608533665,5,5,D,B,1,90.69355921496054,0,C,1,Нет
A,65.52270332880906,1,2,C,B,5,12.021402451304198,1,D,1,C,10.076770918174594,1,2,B,C,3,19.332579274947836,1,D,1,Да
A,59.2246696851047,1,1,C,A,3,74.17805877912075,0,D,0,C,92.64025365546573,4,3,B,B,1,0.29688853554027395,1,D,1,Нет
D,18.592439445802977,4,3,B,B,2,95.75156039436116,0,A,1,D,9.675291580722622,5,1,B,A,5,57.6794666077557,1,B,1,Нет
C,61.05680167717775,1,1,D,D,2,54.85368431226922,0,C,1,D,17.752434296544482,5,4,A,A,1,73.05311274282874,0,B,0,Нет
A,97.30955892739745,1,2,A,B,1,60.07429120963155,0,B,1,B,5.088043467397629,4,2,B,D,2,14.40436301128888,1,C,1,Нет
D,53.79382872089455,1,4,D,D,4,96.51960383047512,1,C,0,B,16.05353207751785,1,4,C,B,3,88.08591740191703,1,D,0,Нет
A,53.08874892987846,4,1,D,B,2,29.468967800888336,1,B,0,C,75.33283829378811,3,3,C,B,1,40.0769871948435,0,B,0,Нет
D,73.5805677554674,4,1,B,B,1,74.93319122542951,1,A,1,A,68.0232757099718,1,2,D,A,4,65.19529519215126,1,B,0,Нет
A,12.91684414052635,2,5,D,B,4,40.981523822191754,0,A,1,C,38.650305912208424,5,2,A,C,5,38.71086039787821,0,D,1,Нет
D,85.09947237498237,4,4,B,A,2,34.36335964159192,1,A,0,D,71.06059320646386,2,1,C,D,5,29.101965256192862,1,B,1,Нет
D,8.22311309297844,1,2,D,B,5,23.006506263619343,0,D,1,A,83.3534004378756,1,2,B,B,3,43.07873795453199,0,C,1,Да
C,43.69219451756553,1,3,D,C,5,16.631229887271825,0,B,1,D,89.8915855503383,5,5,B,A,5,84.70790714507427,1,C,1,Нет
B,94.54690448858346,2,3,B,A,4,43.65681852032313,1,A,0,B,79.83760943801182,2,3,B,A,4,7.813809037148278,0,C,1,Да
C,19.697662794117242,1,2,A,C,1,5.154808028494795,1,C,0,B,44.71874392904104,2,3,B,C,5,4.300833588961462,1,B,0,Нет
A,76.05739614783383,3,2,C,D,5,27.000148677300693,1,C,1,A,0.26905657858391496,1,1,B,B,3,77.69094409696612,0,D,1,Нет
A,34.23800439878906,2,1,B,B,2,56.570777585042585,1,A,1,C,74.34798085740677,3,3,C,D,5,24.693141823658692,0,B,0,Нет
D,5.870180895638577,1,3,B,A,1,49.330589172475705,0,C,1,D,27.410508214315442,1,2,A,D,5,52.478935906273215,1,B,0,Нет
A,53.24180308126206,1,3,B,B,3,18.856364543008908,0,A,1,D,46.9260929754302,3,4,D,D,2,59.78861833355427,0,B,0,Нет
C,13.995884636407553,2,1,D,D,5,86.23985781985823,0,D,1,B,22.72902733817831,3,5,D,A,3,24.169524727386772,0,C,0,Нет
C,62.72928784838642,4,3,B,A,5,51.36031606409027,1,D,1,C,91.63412490769936,5,2,B,C,1,18.57342130310966,1,B,1,Нет
A,54.32310363896442,5,3,D,C,1,90.16789615644807,1,A,0,C,88.05404001397655,3,5,B,C,5,6.901347856717455,1,D,0,Нет
C,36.949743150059355,2,5,C,C,3,36.56775512627883,1,A,1,C,57.00438930368835,5,2,D,A,5,74.78098186531781,1,D,1,Нет
C,98.02511603428715,5,3,A,A,4,18.907675313371296,0,B,1,A,8.204487096426316,4,3,D,C,4,45.90900567709296,0,A,0,Нет
A,52.23801915918577,5,1,B,D,3,87.64932412150792,0,B,0,B,17.298142642482873,5,1,D,C,2,87.06982890918728,1,A,1,Нет
D,50.57530970056055,5,3,A,B,4,43.241005883487404,1,D,0,C,62.736273008730805,1,3,D,B,2,76.10612549022412,1,B,1,Нет
B,74.19210926984778,3,5,B,D,3,47.713853406806074,1,A,1,B,22.084878273311958,1,3,A,D,4,0.9509354809666082,0,D,1,Нет
A,27.97623923815977,3,3,D,B,4,50.72035434723797,1,C,1,A,92.14202498063217,3,4,D,C,1,12.236857333216777,0,D,1,Нет
B,27.32151290112881,1,3,A,B,2,90.29772089303874,1,A,0,D,39.997100453346434,3,2,A,D,4,2.5584908644407434,1,B,0,Нет
B,23.01675274163406,3,2,C,C,3,80.04063389630006,0,C,1,A,77.86152205363109,4,2,B,D,2,62.3763609238088,1,A,1,Нет
D,91.94066559754049,4,3,C,B,5,42.62224446629922,0,C,0,A,95.03433478147397,3,2,A,D,1,90.29280170092268,1,A,0,Нет
D,85.68015064067934,3,5,B,D,4,43.71356208662706,1,B,1,C,42.115325283016944,4,5,A,B,4,92.45713187797588,0,A,0,Нет
B,35.91946753738575,1,3,D,A,2,24.48741577374145,1,C,1,C,8.712658766334869,2,1,A,D,2,29.672565447256815,1,A,0,Нет
A,91.92010466367184,5,1,D,B,4,19.726030415745722,0,A,1,C,18.408012732350475,4,3,D,B,5,0.17323034543723637,0,B,1,Нет
B,16.245631232634715,3,3,B,D,3,71.2036033275089,1,D,0,C,3.8627813135007627,2,1,B,C,2,33.987704412637896,1,B,0,Нет
C,82.81916635498216,2,3,C,A,4,79.73409695746203,1,A,1,D,92.69998872046295,4,2,D,C,2,87.27629243207231,0,D,0,Нет
C,96.49081273759494,5,4,A,A,5,60.01568260493863,1,A,0,D,1.5558316460772659,2,4,D,A,5,68.66632797064776,1,A,1,Да
C,2.49506807848362,4,5,B,C,1,93.95939084249909,1,C,1,B,91.39542198459144,2,3,A,B,2,35.10515528644329,0,B,0,Нет
A,29.67011125260196,5,2,B,D,1,0.643750036928592,0,A,1,C,34.11442670444714,3,1,A,B,5,44.391629344312086,0,B,1,Нет
B,13.917590926741807,2,4,D,B,1,19.506193712195476,1,A,0,A,33.31086315187527,1,5,C,A,5,42.65001570835631,0,D,0,Нет
D,20.349590821523698,3,3,B,B,2,70.83919349210134,0,A,1,C,48.449023259094204,5,4,B,C,1,51.39129944996183,0,A,0,Нет
C,49.6132408604783,4,3,C,D,3,42.59536127237327,0,D,1,B,87.85129906022362,5,4,B,B,3,55.633939556975264,1,B,1,Нет
B,16.95897418691753,3,2,D,B,1,34.61470088635104,0,C,1,D,52.799579358466985,3,2,B,C,4,64.0167970690243,1,B,1,Нет
A,28.0103868263597,4,1,D,A,5,82.29036432271559,0,C,0,A,98.92399085910209,2,3,C,C,2,68.26885002361965,0,A,1,Нет
B,47.58369579833709,1,4,D,B,1,9.036029373336419,0,A,1,C,8.389921387194976,1,4,D,B,4,27.367730974132098,0,A,0,Да
A,79.26541134747409,2,1,A,A,5,85.34204554538475,1,B,0,D,39.033877718537354,2,5,A,B,1,39.22332915137078,1,A,0,Нет
C,46.52486429889503,2,4,B,C,3,3.4386619856906497,0,D,1,B,77.5630973308165,4,4,D,C,4,82.94163317971565,0,C,1,Нет
A,78.70125830032879,5,2,B,A,4,90.51148803701847,0,B,0,D,67.09733838522625,2,3,D,D,5,77.90867698633183,1,A,1,Нет
C,33.49525695675722,4,2,A,D,4,67.07210120152908,0,A,0,C,81.94134573664317,3,1,A,C,3,37.4042395685344,0,B,0,Нет
D,5.037224725469224,2,2,A,B,1,87.40195849966538,0,A,1,C,64.9924161002446,1,4,B,D,1,42.761798370193404,0,C,0,Нет
B,43.568854411543455,5,3,C,B,1,51.52083822293497,1,C,0,B,54.1860748058972,2,2,A,D,4,84.91239400837308,1,C,1,Нет
B,25.477368934906586,5,3,A,D,4,71.90811968540277,0,A,0,A,71.11168696271649,2,5,A,B,4,10.26225280673858,1,B,1,Нет
C,16.971412436251242,5,4,D,C,4,33.32921559433618,0,B,0,B,53.255894114379906,5,3,C,D,5,43.23326046978059,0,C,0,Нет
D,98.00716469635273,1,3,B,D,4,35.45533844882117,0,C,1,A,44.36047784871108,2,3,A,B,1,76.94090478621244,1,D,1,Нет
D,28.703114757986757,3,2,C,B,1,90.45002116726593,1,B,0,B,74.119342207359,3,2,C,B,2,35.434796189839304,1,A,1,Да
B,34.646083920232584,5,3,C,C,1,87.47052844750252,0,B,1,A,76.39263848454509,1,2,C,B,3,94.06354988010041,0,D,1,Нет
C,63.51020928333746,4,2,A,B,3,4.2436462161904,1,B,1,B,34.709309179030555,4,4,D,D,4,75.85390687325085,1,D,0,Нет
B,80.28597931313554,5,4,D,B,1,32.50157811860266,0,B,1,A,54.3841545621778,5,3,B,D,1,26.659315253744676,0,A,0,Нет
A,54.82955872980543,1,2,A,B,5,12.174635410396938,0,A,1,A,23.26783123557047,2,5,A,A,5,45.7855707481861,1,A,1,Да
D,9.307055673273767,2,2,D,C,2,53.06517568252678,0,B,1,D,8.55954067723288,5,1,D,D,2,67.06548578761283,1,C,1,Нет
A,65.76133356216201,3,2,D,A,2,34.359637986337866,1,C,0,D,82.50842198016969,1,4,A,B,5,97.54901721626979,0,D,1,Нет
B,89.40190925840066,1,5,D,A,2,7.427500030594725,1,D,0,A,92.76907343935287,2,4,C,D,5,60.00128283429276,1,A,0,Нет
A,74.538404706905,5,4,D,C,1,94.29370964415794,0,C,1,A,40.65863178906829,1,1,A,D,1,8.172984292076546,1,A,1,Нет
B,27.77717890340664,3,4,C,B,1,16.462050423291174,1,B,1,B,12.36216001028213,2,5,B,C,2,51.69113774078474,0,B,1,Нет
D,8.092653572430098,5,1,B,C,3,4.185313562184101,0,B,1,A,79.04324206259886,1,1,B,A,5,92.21804813589375,0,B,1,Да
B,44.487973243356116,5,4,D,D,2,34.508238419537754,0,A,0,A,37.14841797667248,5,3,D,C,4,77.27051282914297,0,A,1,Нет
A,49.57067917544844,1,2,A,D,4,34.774462538521576,0,C,1,A,29.722885321406277,3,4,A,B,2,88.15070657730114,1,C,1,Нет
B,41.25007417573718,1,5,B,D,1,23.805280415840148,1,B,0,B,79.68309489479815,1,1,A,B,3,73.66127975071488,1,D,0,Нет
A,79.54141395810804,1,3,A,D,2,42.11930727124016,1,C,1,A,48.4287318262515,3,5,D,A,1,73.24483678014697,1,A,0,Нет
B,82.90427559229514,1,4,D,A,3,96.09239955935276,1,A,0,C,54.534581550327374,2,5,B,A,5,3.0466671444790983,0,C,0,Нет
D,61.66665117408445,1,2,C,C,3,64.5924758469109,0,A,1,A,5.176564778665027,5,2,C,B,2,62.85802540732729,0,C,0,Нет
A,58.217753143361236,3,4,D,D,5,18.172618941043073,1,B,0,C,41.74564068656495,1,4,C,D,2,92.7099403302822,1,D,1,Нет
D,7.098393781541268,5,1,A,D,3,37.743211118776834,0,B,1,D,44.75995644223112,3,5,A,D,1,52.46221152747038,1,C,1,Нет
C,68.18326970042185,5,1,D,A,1,9.95187518717524,1,C,0,D,10.821796038744868,5,4,A,B,4,44.0279707098883,1,C,0,Нет
D,34.81008692938402,4,4,A,C,4,53.14562040918306,0,A,0,C,53.7598639318117,1,5,D,D,4,62.432578589757426,1,D,0,Нет
C,97.11937080294535,1,5,D,C,4,15.771854568263555,0,B,0,D,57.37233493510397,4,2,B,C,5,78.514658215773,0,C,1,Нет
A,20.171890944132,2,4,C,C,3,69.34936523280561,0,C,0,A,7.443298348114736,2,4,A,B,2,43.41704633452428,1,A,1,Нет
B,99.85910625631335,1,3,C,D,4,94.04130053488512,0,B,1,A,70.21433222845727,3,3,C,A,3,5.1727607606904975,1,C,1,Нет
C,40.31539388164638,3,5,C,C,1,30.129916165795322,0,D,0,D,43.54663957652385,1,5,B,B,3,25.218315653059953,1,D,1,Нет
D,16.894761021969064,3,3,B,B,1,43.90977070340344,0,D,0,B,22.57658415387254,3,1,A,B,4,75.52213602427024,1,A,1,Нет
B,47.03730518344194,4,3,C,A,2,75.96521900536487,0,C,1,A,60.090903094660696,5,1,C,D,5,72.10978721519747,1,C,0,Нет
C,47.278965999872234,3,2,D,A,4,72.67365581669351,1,A,1,C,7.854341016806366,5,3,D,D,2,16.77594387056648,0,D,0,Нет
C,95.75781840349595,5,5,B,B,5,14.185266344019842,0,D,1,D,48.50182770821415,1,2,C,D,3,75.46393625149722,1,B,0,Нет
C,0.2657816674607072,3,3,C,A,5,90.54097356177145,0,C,1,A,99.02592203636452,3,1,D,A,5,25.89438283916865,0,B,1,Да
A,4.448385189075276,2,1,D,A,2,94.01449174650416,0,A,0,C,91.71096487434805,5,2,B,D,4,49.738289230155054,0,D,0,Нет
A,72.98343783303078,3,4,B,B,4,48.90176903241572,0,C,0,A,54.05846709181266,1,2,A,B,4,95.0269511748603,0,B,1,Нет
C,65.45098402363382,2,4,B,C,3,30.323600866681133,1,D,1,A,47.90010809603933,1,1,D,A,1,28.726501984069287,0,B,0,Нет
A,46.48422592680917,5,4,A,D,1,66.8917179173933,1,B,1,A,51.06091504136007,5,4,C,A,1,71.69599617752533,0,C,0,Нет
