Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj1_Feat10,Obj1_Feat11,Obj1_Feat12,Obj1_Feat13,Obj1_Feat14,Obj1_Feat15,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Obj2_Feat10,Obj2_Feat11,Obj2_Feat12,Obj2_Feat13,Obj2_Feat14,Obj2_Feat15,Collision
54.46216516826566,1,B,1,2,4,B,0,B,1,3,C,B,B,D,41.8154633890378,0,A,1,3,3,C,1,D,0,3,B,D,A,D,Нет
65.41960293627498,0,B,0,3,5,C,1,C,1,2,B,C,B,D,80.27763741356023,0,D,0,3,4,B,0,D,0,2,D,A,B,D,Нет
29.179083137871498,0,A,1,3,4,C,0,A,0,2,B,B,D,A,17.053684443156857,1,D,1,1,5,B,1,D,0,1,D,C,A,A,Нет
79.86587277628773,1,D,1,1,3,A,1,B,0,3,A,D,B,A,79.50529284210612,1,A,0,4,5,A,0,D,0,3,A,B,A,A,Нет
12.701605769523505,1,C,1,1,2,D,1,D,1,5,C,C,C,A,62.79446513348385,1,C,0,5,2,B,0,A,1,3,A,D,A,D,Нет
8.322225889177059,0,C,0,3,3,B,1,B,1,5,B,A,A,A,14.094059896999344,0,D,0,4,2,A,0,D,1,4,D,A,C,D,Нет
39.25608066940818,1,D,0,3,2,D,0,C,0,5,C,D,C,D,93.74607620170914,0,D,1,5,5,A,0,D,1,5,C,A,D,B,Нет
24.285288370026016,1,A,0,1,2,A,0,C,0,1,D,A,B,B,38.61546823718114,1,A,1,2,3,D,0,B,0,3,D,A,C,D,Нет
33.48838906869042,0,C,0,3,4,A,1,C,1,5,A,D,C,B,36.37904774293149,1,D,0,3,5,B,0,A,1,4,D,A,A,A,Нет
75.30560862808099,1,D,1,5,4,D,0,D,1,2,D,C,B,A,68.12655010453776,1,C,0,2,4,D,1,A,0,4,C,D,A,B,Нет
54.14590734867111,1,C,0,3,3,D,0,D,0,3,D,B,A,A,74.6776049248027,1,B,1,5,2,B,0,D,0,2,B,D,B,D,Нет
88.56090671552988,0,B,0,5,3,D,1,A,1,5,B,B,A,B,54.125881724956784,0,B,1,4,5,A,1,D,0,5,A,C,B,A,Нет
24.66300931082488,1,A,0,1,1,C,0,A,1,4,C,D,A,B,29.045082700620085,0,A,0,5,5,D,0,C,1,3,B,B,A,A,Нет
55.260154945383654,1,C,0,1,3,A,0,A,0,2,B,D,B,B,7.817121570347963,0,C,1,2,1,B,0,D,1,2,C,C,B,A,Нет
75.35887904229934,0,B,1,1,5,D,1,A,1,4,A,D,B,C,71.25930450554976,1,A,1,2,3,B,0,B,1,1,C,C,A,D,Нет
98.7857583405567,0,A,1,1,1,D,1,A,1,3,D,B,A,D,98.60095632093187,0,A,1,4,3,C,1,C,1,4,D,D,B,D,Да
61.038172795525,0,D,0,2,3,A,1,C,0,1,C,A,A,C,0.051727562285808215,0,C,0,2,2,C,0,D,1,2,A,B,D,A,Нет
56.382979564078184,1,B,0,4,2,A,1,D,1,3,A,D,B,B,12.19663820114687,0,A,0,3,1,B,0,B,1,1,A,A,A,C,Нет
82.56053208450719,0,A,0,2,1,C,1,B,0,4,D,C,D,A,92.29692272382324,0,C,0,4,3,A,1,C,1,2,D,B,D,D,Нет
69.57988923495061,1,D,0,4,5,D,1,A,0,4,C,B,A,D,12.243667895361632,0,B,0,3,4,D,0,B,1,2,B,B,C,D,Нет
3.513224905372059,0,B,1,4,2,C,0,C,1,2,D,D,A,C,52.22716807705544,1,C,0,1,3,A,1,B,1,1,A,A,D,A,Нет
73.67655530419447,0,C,1,5,4,A,0,B,1,5,B,A,D,B,97.56445327186727,0,B,0,4,2,D,1,D,0,1,B,A,D,B,Нет
31.296259608659117,1,B,1,1,2,A,1,B,0,1,A,D,C,B,26.201672153960143,1,A,0,5,3,B,1,B,1,1,D,B,D,C,Нет
47.52128404182096,0,C,0,5,4,D,0,B,1,1,C,C,C,B,38.492149121071925,1,B,0,5,3,B,1,A,0,3,B,B,C,C,Нет
9.651012452432873,0,D,1,1,5,B,0,B,0,5,C,D,A,A,88.20216971673472,0,D,0,2,3,B,1,B,1,1,D,C,C,D,Нет
58.58585034620951,1,A,1,4,4,A,0,A,1,1,A,D,C,A,65.13785285799182,1,D,1,4,4,D,0,B,0,4,B,A,A,D,Нет
79.85968107580018,0,A,0,3,3,A,1,C,1,2,D,A,B,A,16.500045135516615,0,A,1,5,2,A,1,A,1,5,A,C,A,C,Нет
77.07087842986297,0,A,0,4,2,B,1,A,0,3,C,D,A,B,89.79053446757092,1,A,1,3,4,C,1,C,1,2,C,D,C,D,Нет
7.726434519246473,0,D,1,2,1,D,1,B,1,1,A,C,B,C,6.601929882461333,1,D,1,5,5,A,1,B,1,3,D,C,D,A,Нет
54.94931883951677,0,C,0,4,2,C,0,A,0,2,D,D,C,A,17.868220240062804,0,D,0,1,5,D,0,D,0,2,A,B,A,B,Нет
48.48583105943355,0,C,1,5,5,C,0,C,0,4,A,C,A,B,49.800811043571805,1,D,0,2,3,A,1,D,1,1,B,A,D,B,Нет
71.19441504560015,1,A,0,4,4,B,0,A,1,4,B,D,B,A,67.405687305042,0,D,0,5,4,D,0,D,0,1,B,B,C,A,Нет
21.013068141793813,1,B,1,2,1,D,1,B,1,1,B,D,D,C,50.811848098438915,1,C,1,4,4,D,0,A,1,1,C,B,C,B,Нет
10.714281239549761,0,B,1,4,2,C,1,C,0,4,D,B,A,D,37.31135309715744,1,B,0,4,3,C,1,C,0,5,C,A,A,A,Да
85.90356075432155,0,B,0,2,4,C,1,C,0,1,C,C,A,B,99.11907272549091,1,D,0,3,2,B,1,D,1,5,A,C,D,D,Нет
2.17442138663565,0,D,1,3,2,C,1,C,0,1,A,A,D,D,22.038538419943098,0,B,0,5,5,D,0,B,0,1,A,D,C,B,Нет
16.637100243830393,0,C,1,4,2,C,0,A,1,3,C,A,A,D,9.53973329753125,0,B,0,4,2,D,1,B,1,1,D,B,B,C,Нет
2.7398943971834733,1,D,1,5,5,C,1,C,1,4,B,C,B,D,78.61431210154102,1,A,0,4,3,B,0,A,0,1,C,C,A,C,Нет
90.28831795711328,1,C,1,4,5,B,1,D,0,5,A,C,D,D,22.29481406931709,1,A,0,3,2,C,1,A,0,3,D,B,A,B,Нет
23.631673768142626,0,B,1,1,3,A,0,B,0,2,C,B,D,A,3.2451847630070363,0,B,1,5,2,C,0,A,1,3,D,B,A,D,Нет
79.0970853005852,1,A,1,5,3,D,0,B,1,5,A,B,B,C,57.079176157698356,0,C,0,5,3,B,0,B,1,1,B,D,A,B,Нет
5.845475711749392,1,C,1,2,3,C,1,C,1,4,B,D,D,B,82.22798680646312,1,A,1,3,5,A,0,C,0,2,A,C,B,B,Нет
94.75920491500713,0,A,0,2,1,D,1,D,1,2,D,C,C,C,10.744271872074663,1,D,0,5,1,C,0,B,0,1,A,D,D,B,Нет
64.13915519354369,1,D,0,3,2,B,1,B,0,5,A,A,C,C,93.46794611628377,0,C,1,2,4,C,1,C,1,5,C,C,A,A,Нет
9.340555025957087,0,C,0,1,2,D,0,C,0,4,A,D,C,C,23.282425204505984,1,A,1,2,2,A,1,C,1,2,A,C,D,D,Нет
95.7817152179249,0,C,1,3,3,C,0,D,0,3,C,C,D,D,40.402013669132266,0,C,0,1,3,C,1,C,1,3,B,B,C,D,Нет
16.678090584148364,0,C,0,1,4,D,1,C,0,2,C,B,D,C,44.6409221818035,0,C,0,5,4,B,1,B,1,3,B,D,A,D,Нет
70.35705510840037,1,A,0,2,4,D,0,A,1,4,B,C,C,B,50.86982473512742,0,B,1,3,5,B,1,A,0,3,A,C,B,C,Нет
29.102922261116827,1,C,0,5,2,C,1,A,0,1,B,A,C,B,54.586330207192646,0,C,0,2,5,A,0,C,0,4,D,A,A,B,Нет
29.26372659239165,0,D,1,3,5,B,1,C,0,2,A,B,B,D,82.97885635807887,1,B,0,3,3,B,0,C,1,4,B,D,C,A,Нет
